OMA_best20_pruner30	OMA_best20_pruner20	OMA_best20_pruner0	OMA_best20_pruner10	M70_pruner30	OMA_best10_115_pruner30	OMA_best10_115_pruner20	OMA_best10_115_pruner0	OMA_best10_115_pruner10	M43_pruner0	M43_pruner30	M43_pruner10	M43_pruner20	M70_pruner0	M70_pruner10	M70_pruner20	GTDB_r220_pruner30	GTDB_r220_pruner20	GTDB_r220_pruner0	GTDB_r220_pruner10
OMA_best20_pruner30	0	5e-04	6e-04	6e-04	0.0229	0.01	0.0105	0.0105	0.0105	0.0905	0.096	0.1	0.0982	0.0729	0.0742	0.0746	0.0744	0.0786	0.0797	0.0805
OMA_best20_pruner20	5e-04	0	0	0	0.0227	0.0115	0.0111	0.011	0.011	0.0929	0.099	0.1021	0.1005	0.0769	0.0781	0.0784	0.0795	0.0827	0.0837	0.0845
OMA_best20_pruner0	6e-04	0	0	0	0.0223	0.0116	0.011	0.011	0.011	0.0929	0.0991	0.102	0.1005	0.0777	0.0789	0.0792	0.0803	0.0835	0.0845	0.0853
OMA_best20_pruner10	6e-04	0	0	0	0.0222	0.0116	0.011	0.011	0.011	0.0929	0.0991	0.102	0.1005	0.0778	0.079	0.0792	0.0803	0.0835	0.0845	0.0853
M70_pruner30	0.0229	0.0227	0.0223	0.0222	0	0.0168	0.0145	0.0142	0.0142	0.0872	0.0844	0.0908	0.0893	0.0965	0.0967	0.0963	0.1007	0.1078	0.1095	0.1105
OMA_best10_115_pruner30	0.01	0.0115	0.0116	0.0116	0.0168	0	7e-04	8e-04	8e-04	0.0968	0.0983	0.1031	0.1014	0.0841	0.0858	0.086	0.0868	0.0929	0.0947	0.0957
OMA_best10_115_pruner20	0.0105	0.0111	0.011	0.011	0.0145	7e-04	0	0	0	0.0988	0.1002	0.1042	0.1027	0.0896	0.0912	0.0916	0.0939	0.0992	0.1009	0.1019
OMA_best10_115_pruner0	0.0105	0.011	0.011	0.011	0.0142	8e-04	0	0	0	0.0989	0.1003	0.1042	0.1028	0.0903	0.0919	0.0922	0.0946	0.0999	0.1016	0.1026
OMA_best10_115_pruner10	0.0105	0.011	0.011	0.011	0.0142	8e-04	0	0	0	0.0989	0.1003	0.1042	0.1028	0.0903	0.0919	0.0922	0.0946	0.0999	0.1016	0.1026
M43_pruner0	0.0905	0.0929	0.0929	0.0929	0.0872	0.0968	0.0988	0.0989	0.0989	0	0.01	0.0098	0.0091	0.085	0.0846	0.0833	0.0793	0.0834	0.0843	0.0846
M43_pruner30	0.096	0.099	0.0991	0.0991	0.0844	0.0983	0.1002	0.1003	0.1003	0.01	0	0.0019	0.0014	0.0861	0.0853	0.0845	0.088	0.0929	0.094	0.0943
M43_pruner10	0.1	0.1021	0.102	0.102	0.0908	0.1031	0.1042	0.1042	0.1042	0.0098	0.0019	0	1e-04	0.0906	0.09	0.0886	0.0942	0.0977	0.0985	0.0987
M43_pruner20	0.0982	0.1005	0.1005	0.1005	0.0893	0.1014	0.1027	0.1028	0.1028	0.0091	0.0014	1e-04	0	0.0898	0.0892	0.0879	0.0924	0.0962	0.097	0.0973
M70_pruner0	0.0729	0.0769	0.0777	0.0778	0.0965	0.0841	0.0896	0.0903	0.0903	0.085	0.0861	0.0906	0.0898	0	2e-04	0.0015	0.0234	0.0215	0.0217	0.0215
M70_pruner10	0.0742	0.0781	0.0789	0.079	0.0967	0.0858	0.0912	0.0919	0.0919	0.0846	0.0853	0.09	0.0892	2e-04	0	0.0016	0.0239	0.0219	0.0221	0.0218
M70_pruner20	0.0746	0.0784	0.0792	0.0792	0.0963	0.086	0.0916	0.0922	0.0922	0.0833	0.0845	0.0886	0.0879	0.0015	0.0016	0	0.0226	0.0208	0.0211	0.0208
GTDB_r220_pruner30	0.0744	0.0795	0.0803	0.0803	0.1007	0.0868	0.0939	0.0946	0.0946	0.0793	0.088	0.0942	0.0924	0.0234	0.0239	0.0226	0	0.0012	0.0016	0.0018
GTDB_r220_pruner20	0.0786	0.0827	0.0835	0.0835	0.1078	0.0929	0.0992	0.0999	0.0999	0.0834	0.0929	0.0977	0.0962	0.0215	0.0219	0.0208	0.0012	0	1e-04	1e-04
GTDB_r220_pruner0	0.0797	0.0837	0.0845	0.0845	0.1095	0.0947	0.1009	0.1016	0.1016	0.0843	0.094	0.0985	0.097	0.0217	0.0221	0.0211	0.0016	1e-04	0	0
GTDB_r220_pruner10	0.0805	0.0845	0.0853	0.0853	0.1105	0.0957	0.1019	0.1026	0.1026	0.0846	0.0943	0.0987	0.0973	0.0215	0.0218	0.0208	0.0018	1e-04	0	0
