X.OTU.ID	W10A_S222	W10G_S233	W10M_S165	W10N_S121	W10SB_S14	W10ST_S54	W10W_S101	W1A_S20	W1M_S162	W1ST_S12	W1W_S149	W2A_S214	W2M_S218	W2ST_S217	W2W_S80	W3A_S137	W3G_S57	W3M_S206	W3N_S61	W3ST_S168	W3W_S223	W4A_S235	W4G_S193	W4M_S85	W4ST_S104	W4W_S118	W5A_S72	W5G_S184	W5M_S35	W5N_S2	W5SB_S152	W5ST_S61	W5W_S158	W6A_S33	W6G_S213	W6M_S8	W6N_S10	W6SB_S89	W6ST_S219	W6W_S21	W7A_S220	W7G_S75	W7M_S209	W7N_S46	W7SB_S140	W7ST_S148	W7W_S159	W8A_S138	W8G_S34	W8M_S28	W8N_S114	W8SB_S55	W8ST_S174	W8W_S132	W9.2A_S160	W9.2N_S97	W9.2ST_S133	W9G_S180	W9M_S150	W9SB_S40	W9W_S164	PJ10A_S34	PJ10G_S167	PJ10M_S199	PJ10N_S77	PJ10SB_S124	PJ10ST_S231	PJ10W_S126	PJ11A_S134	PJ11G_S195	PJ11M_S94	PJ11N_S130	PJ11SB_S109	PJ11ST_S56	PJ11W_S108	PJ12A_S6	PJ12G_S177	PJ12M_S115	PJ12N_S105	PJ12SB_S175	PJ12ST_S59	PJ12W_S189	PJ13A_S118	PJ13G_S148	PJ13M_S143	PJ13N_S81	PJ13SB_S203	PJ13ST_S154	PJ13W_S226	PJ14A_S232	PJ14G_S73	PJ14M_S30	PJ14N_S151	PJ14SB_S9	PJ14ST_S123	PJ14W_S204	PJ15A_S21	PJ15G_S129	PJ15M_S185	PJ15N_S117	PJ15SB_S58	PJ15ST_S22	PJ15W_S113	PJ16A_S14	PJ16G_S88	PJ16M_S237	PJ16N_S63	PJ16ST_S103	PJ16W_S172	PJ17A_S91	PJ17G_S139	PJ17M_S202	PJ17N_S238	PJ17SB_S227	PJ17ST_S51	PJ17W_S45	PJ18A_S69	PJ18G_S98	PJ18M_S37	PJ18N_S211	PJ18SB_S70	PJ18ST_S17	PJ18W_S225	PJ19A_S216	PJ19G_S188	PJ19M_S122	PJ19N_S131	PJ19SB_S176	PJ19ST_S79	PJ19W_S10	PJ1A_S208	PJ1G_S207	PJ1M_S239	PJ1N_S82	PJ1SB_S192	PJ1ST_S234	PJ1W_S15	PJ20A_S170	PJ20G_S4	PJ20M_S65	PJ20N_S241	PJ20SB_S164	PJ20ST_S157	PJ2A_S42	PJ2G_S27	PJ2M_S60	PJ2N_S90	PJ2SB_S112	PJ2ST_S11	PJ2W_S146	PJ3A_S87	PJ3G_S5	PJ3M_S155	PJ3N_S31	PJ3SB_S179	PJ3ST_S120	PJ3W_S16	PJ4A_S84	PJ4G_S116	PJ4M_S93	PJ4N_S78	PJ4SB_S68	PJ4W_S205	PJ5A_S13	PJ5G_S47	PJ5M_S183	PJ5N_S173	PJ5SB_S36	PJ5ST_S166	PJ5W_S127	PJ6A_S24	PJ6G_S201	PJ6M_S153	PJ6N_S194	PJ6SB_S137	PJ6ST_S49	PJ6W_S74	PJ7A_S145	PJ7G_S29	PJ7M_S1	PJ7N_S125	PJ7SB_S32	PJ7ST_S240	PJ7W_S26	PJ8A_S171	PJ8G_S99	PJ8M_S191	PJ8N_S119	PJ8SB_S44	PJ8ST_S224	PJ8W_S198	PJ9A_S7	PJ9G_S186	PJ9M_S163	PJ9N_S236	PJ9SB_S66	PJ9ST_S212	PJ9W_S19	X10A_S156	X10G_S112	X10M_S31	X10N_S99	X10SB_S38	X10ST_S161	X10W_S24	X11.2A_S166	X11G_S103	X11M_S135	X11N_S151	X11SB_S57	X11ST_S71	X11W_S153	X12A_S132	X12G_S41	X12M_S123	X12N_S13	X12SB_S139	X12ST_S4	X12W_S120	X13A_S165	X13M_S95	X13ST_S142	X13W_S119	X14A_S59	X14G_S30	X14M_S52	X14ST_S133	X14W_S12	X15A_S116	X15G_S11	X15M_S51	X15N_S115	X15SB_S129	X15ST_S163	X15W_S160	X16A_S106	X16M_S48	X16SB_S20	X16ST_S72	X16W_S29	X17A_S155	X17M_S141	X17W_S149	X18A_S43	X18G_S74	X18M_S101	X18N_S104	X18SB_S69	X18ST_S6	X18W_S77	X19.2N_S108	X19A_S138	X19G_S107	X19M_S66	X19SB_S50	X19ST_S87	X19W_S82	X20.2A_S125	X20.2M_S111	X20G_S134	X20N_S63	X20SB_S128	X20ST_S1	X20W_S91	X21A_S102	X21G_S23	X21M_S64	X21N_S70	X21SB_S168	X21ST_S35	X21W_S46	X2A_S146	X2G_S159	X2M_S56	X2N_S2	X2SB_S42	X2ST_S73	X2W_S39	X3A_S140	X3G_S25	X3M_S49	X3N_S117	X3SB_S114	X3ST_S127	X3W_S5	X4A_S124	X4G_S96	X4M_S98	X4N_S81	X4SB_S131	X4ST_S62	X4W_S122	X5A_S145	X5G_S93	X5M_S26	X5N_S67	X5SB_S143	X5ST_S136	X5W_S16	X6A_S109	X6G_S169	X6M_S92	X6N_S83	X6SB_S47	X6ST_S19	X6W_S88	X7A_S15	X7G_S126	X7M_S150	X7N_S152	X7SB_S154	X7ST_S55	X7W_S3	X8A_S147	X8G_S167	X8M_S80	X8N_S157	X8SB_S90	X8ST_S79	X8W_S97	X9A_S86	X9G_S8	X9M_S54	X9N_S110	X9SB_S113	X9ST_S17	X9W_S100
Zotu1	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	9	0	0	0	0	0	0	6	1	0	0	0	0	0	0	1	0	2	0	0	63	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6	0	0	0	0	0	0	0	0	2	0	77	0	4	26	0	0	0	30	0	16	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	6	35	5	0	0	0	0	0	0	0	0	5	0	4	12	0	0	0	0	0	0	0	0	0	29	0	0	0	0	6	0	0	0	0	29	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	106	0	0	0	0	0	4	0	0	5	4	0	0	0	0	10	5	17	1	0	0
Zotu2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	7	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	21	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	2	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Zotu3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	2	0	0	0	0	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	3	2	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	4	0	6	0	0	0	0	1	0	0	0	0	0	3	1	0	0	0	0	0	1	6	0	0	0	0	1	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	19	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	113	86	73	183	75	53	25	29	13	12	10	23	7	31	77	35	108	15	50	29	24	62	19	27	11	5	0	10	46	26	42	26	31	54	0	64	63	54	23	26	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	3	7	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	12	0	0	17	0	17	3	0	0	1	0	0	0	0	0	0	0	0	1	5	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
