LABELS

SEPARATOR TAB

DATA

bin01	Oryza sativa
bin02	Cyanidioschyzon merolae
bin03	Cryptosporidium hominis
bin04	Giardia lamblia
bin05	Aeropyrum pernix
bin06	Arabidopsis thaliana
bin07	Eremothecium gossypii
bin08	Bacillus cereus ATCC 10987
bin09	Bacillus subtilis
bin10	Bifidobacterium longum
bin11	Bordetella bronchiseptica
bin12	Brucella suis
bin13	Buchnera aphidicola APS
bin14	Caenorhabditis elegans
bin15	Caulobacter crescentus
bin16	Chlamydia muridarum
bin17	Lactococcus lactis
bin18	Methanococcus jannaschii
bin19	Haemophilus ducreyi
bin20	Chlamydia trachomatis
bin13|bin12|bin06|bin20	TEST
