	043301c0-16f5-4e79-8ca9-e904aa4dda37	0dfeb8a2-3f4f-4f37-82c6-070d98800fa6	10b7eace-cd0a-4ae5-90af-3e392e2a448c	2159b925-3c0f-4372-b32c-b83d88e320c9	3072f3b1-abbb-4899-97bf-7757a29217f6	39edac32-690a-4e25-8135-bc6d6c17cab9	3abc7e88-aeb0-4c6d-bf1c-1eb15130285b	42032510-03ff-481e-958a-eb5227f71be0	4c7d22c1-43b7-4a45-9e4b-201b7e8a0b55	7b902124-018b-4415-84cc-5b8bb5459248	860a2a4f-675a-4668-8006-9ce51d4acf0e	aeaeb623-e7ff-4582-aa44-0b47ed03fe8b	b9e69d52-1db8-4d2a-b986-55057e0be4eb	bd10ffa5-83fc-413f-a9f1-89b2e1964c22	bd4d5e23-02e3-4375-bb7e-e18ed2f151d5	d383d968-58ab-4473-8d4d-6aa851f38fa0	e5d8ab45-4c2d-41ca-a7f5-130a6e8a1f6f	e72fe3ca-71e7-49ca-8586-ddd23844887f	ee911fc7-440f-4835-99da-3148589cac4f	f9d22d83-2f08-41e8-ab95-63f635624035
043301c0-16f5-4e79-8ca9-e904aa4dda37	0	0.196	0.403	0.211	0.192	0.226	0.485	0.243	0.503	0.497	0.201	0.468	0.533	0.502	0.072	0.121	0.049	0.2	0.228	0.446
0dfeb8a2-3f4f-4f37-82c6-070d98800fa6	0.196	0	0.445	0.061	0.068	0.031	0.527	0.102	0.545	0.539	0.06	0.51	0.575	0.544	0.196	0.163	0.161	0.134	0.033	0.488
10b7eace-cd0a-4ae5-90af-3e392e2a448c	0.403	0.445	0	0.461	0.441	0.475	0.127	0.492	0.145	0.139	0.451	0.11	0.175	0.144	0.403	0.322	0.368	0.449	0.477	0.088
2159b925-3c0f-4372-b32c-b83d88e320c9	0.211	0.061	0.461	0	0.084	0.091	0.543	0.117	0.561	0.554	0.075	0.526	0.591	0.559	0.211	0.178	0.176	0.15	0.093	0.503
3072f3b1-abbb-4899-97bf-7757a29217f6	0.192	0.068	0.441	0.084	0	0.098	0.523	0.116	0.541	0.535	0.074	0.506	0.571	0.539	0.191	0.158	0.157	0.13	0.1	0.484
39edac32-690a-4e25-8135-bc6d6c17cab9	0.226	0.031	0.475	0.091	0.098	0	0.557	0.132	0.575	0.569	0.09	0.54	0.605	0.574	0.226	0.193	0.191	0.164	0.029	0.518
3abc7e88-aeb0-4c6d-bf1c-1eb15130285b	0.485	0.527	0.127	0.543	0.523	0.557	0	0.575	0.08	0.134	0.533	0.127	0.192	0.139	0.485	0.404	0.45	0.531	0.559	0.137
42032510-03ff-481e-958a-eb5227f71be0	0.243	0.102	0.492	0.117	0.116	0.132	0.575	0	0.592	0.586	0.077	0.558	0.623	0.591	0.243	0.21	0.208	0.182	0.134	0.535
4c7d22c1-43b7-4a45-9e4b-201b7e8a0b55	0.503	0.545	0.145	0.561	0.541	0.575	0.08	0.592	0	0.152	0.55	0.145	0.21	0.157	0.503	0.422	0.468	0.549	0.577	0.155
7b902124-018b-4415-84cc-5b8bb5459248	0.497	0.539	0.139	0.554	0.535	0.569	0.134	0.586	0.152	0	0.544	0.139	0.204	0.119	0.496	0.416	0.462	0.543	0.571	0.148
860a2a4f-675a-4668-8006-9ce51d4acf0e	0.201	0.06	0.451	0.075	0.074	0.09	0.533	0.077	0.55	0.544	0	0.516	0.581	0.549	0.201	0.168	0.166	0.14	0.092	0.493
aeaeb623-e7ff-4582-aa44-0b47ed03fe8b	0.468	0.51	0.11	0.526	0.506	0.54	0.127	0.558	0.145	0.139	0.516	0	0.135	0.144	0.468	0.387	0.433	0.514	0.542	0.12
b9e69d52-1db8-4d2a-b986-55057e0be4eb	0.533	0.575	0.175	0.591	0.571	0.605	0.192	0.623	0.21	0.204	0.581	0.135	0	0.209	0.533	0.452	0.498	0.579	0.607	0.185
bd10ffa5-83fc-413f-a9f1-89b2e1964c22	0.502	0.544	0.144	0.559	0.539	0.574	0.139	0.591	0.157	0.119	0.549	0.144	0.209	0	0.501	0.421	0.466	0.548	0.576	0.153
bd4d5e23-02e3-4375-bb7e-e18ed2f151d5	0.072	0.196	0.403	0.211	0.191	0.226	0.485	0.243	0.503	0.496	0.201	0.468	0.533	0.501	0	0.12	0.049	0.2	0.228	0.446
d383d968-58ab-4473-8d4d-6aa851f38fa0	0.121	0.163	0.322	0.178	0.158	0.193	0.404	0.21	0.422	0.416	0.168	0.387	0.452	0.421	0.12	0	0.085	0.167	0.195	0.365
e5d8ab45-4c2d-41ca-a7f5-130a6e8a1f6f	0.049	0.161	0.368	0.176	0.157	0.191	0.45	0.208	0.468	0.462	0.166	0.433	0.498	0.466	0.049	0.085	0	0.165	0.193	0.411
e72fe3ca-71e7-49ca-8586-ddd23844887f	0.2	0.134	0.449	0.15	0.13	0.164	0.531	0.182	0.549	0.543	0.14	0.514	0.579	0.548	0.2	0.167	0.165	0	0.166	0.492
ee911fc7-440f-4835-99da-3148589cac4f	0.228	0.033	0.477	0.093	0.1	0.029	0.559	0.134	0.577	0.571	0.092	0.542	0.607	0.576	0.228	0.195	0.193	0.166	0	0.52
f9d22d83-2f08-41e8-ab95-63f635624035	0.446	0.488	0.088	0.503	0.484	0.518	0.137	0.535	0.155	0.148	0.493	0.12	0.185	0.153	0.446	0.365	0.411	0.492	0.52	0
