A,B,C
MetaBAT_1,MyCC_10,2.52
MyCC_10,CONCOCT_52,2.52
MetaBAT_1,MyCC_21,7.7
MyCC_21,CONCOCT_59,7.7
MetaBAT_1,MyCC_25,4.06
MyCC_25,CONCOCT_21,4.06
MetaBAT_1,MyCC_5,0.64
MyCC_5,CONCOCT_21,0.64
MetaBAT_1,MyCC_5,4.47
MyCC_5,CONCOCT_59,4.47
MetaBAT_10,MyCC_40,2.42
MyCC_40,CONCOCT_17,2.42
MetaBAT_10,MyCC_9,3.32
MyCC_9,CONCOCT_37,3.32
MetaBAT_11,MyCC_11,0.87
MyCC_11,CONCOCT_8,0.87
MetaBAT_11,MyCC_16,2.22
MyCC_16,CONCOCT_36,2.22
MetaBAT_11,MyCC_17,1.8
MyCC_17,CONCOCT_36,1.8
MetaBAT_11,MyCC_29,0.91
MyCC_29,CONCOCT_8,0.91
MetaBAT_12,MyCC_42,5.79
MyCC_42,CONCOCT_44,5.79
MetaBAT_13,MyCC_1,3.46
MyCC_1,CONCOCT_53,3.46
MetaBAT_14,MyCC_35,4.62
MyCC_35,CONCOCT_53,4.62
MetaBAT_15,MyCC_3,4.82
MyCC_3,CONCOCT_39,4.82
MetaBAT_16,MyCC_7,0.54
MyCC_7,CONCOCT_47,0.54
MetaBAT_17,MyCC_19,4.24
MyCC_19,CONCOCT_13,4.24
MetaBAT_18,MyCC_15,4.07
MyCC_15,CONCOCT_16,4.07
MetaBAT_19,MyCC_45,3.57
MyCC_45,CONCOCT_26,3.57
MetaBAT_19,MyCC_6,0.54
MyCC_6,CONCOCT_50,0.54
MetaBAT_2,MyCC_36,19.87
MyCC_36,CONCOCT_63,19.87
MetaBAT_20,MyCC_1,3.02
MyCC_1,CONCOCT_3,3.02
MetaBAT_21,MyCC_43,2.96
MyCC_43,CONCOCT_22,2.96
MetaBAT_22,MyCC_12,3.08
MyCC_12,CONCOCT_22,3.08
MetaBAT_23,MyCC_8,3.28
MyCC_8,CONCOCT_61,3.28
MetaBAT_24,MyCC_14,2.93
MyCC_14,CONCOCT_1,2.93
MetaBAT_25,MyCC_18,3.02
MyCC_18,CONCOCT_23,3.02
MetaBAT_26,MyCC_31,1.45
MyCC_31,CONCOCT_10,1.45
MetaBAT_26,MyCC_7,0.53
MyCC_7,CONCOCT_10,0.53
MetaBAT_27,MyCC_6,2.27
MyCC_6,CONCOCT_50,2.27
MetaBAT_28,MyCC_44,2.22
MyCC_44,CONCOCT_46,2.22
MetaBAT_29,MyCC_20,1.61
MyCC_20,CONCOCT_12,1.61
MetaBAT_3,MyCC_30,1.99
MyCC_30,CONCOCT_49,1.99
MetaBAT_3,MyCC_30,2.11
MyCC_30,CONCOCT_54,2.11
MetaBAT_3,MyCC_49,0.84
MyCC_49,CONCOCT_49,0.84
MetaBAT_3,MyCC_49,5.49
MyCC_49,CONCOCT_54,5.49
MetaBAT_30,MyCC_40,1.96
MyCC_40,CONCOCT_17,1.96
MetaBAT_31,MyCC_11,0.93
MyCC_11,CONCOCT_29,0.93
MetaBAT_31,MyCC_29,0.8
MyCC_29,CONCOCT_29,0.8
MetaBAT_32,MyCC_48,1.86
MyCC_48,CONCOCT_1,1.86
MetaBAT_33,MyCC_13,1.78
MyCC_13,CONCOCT_2,1.78
MetaBAT_34,MyCC_33,1.48
MyCC_33,CONCOCT_19,1.48
MetaBAT_35,MyCC_7,0.98
MyCC_7,CONCOCT_24,0.98
MetaBAT_36,MyCC_23,1.46
MyCC_23,CONCOCT_56,1.46
MetaBAT_37,MyCC_47,1.31
MyCC_47,CONCOCT_45,1.31
MetaBAT_38,MyCC_32,1.25
MyCC_32,CONCOCT_25,1.25
MetaBAT_39,MyCC_5,0.53
MyCC_5,CONCOCT_21,0.53
MetaBAT_4,MyCC_24,4.59
MyCC_24,CONCOCT_22,4.59
MetaBAT_4,MyCC_26,3.45
MyCC_26,CONCOCT_22,3.45
MetaBAT_4,MyCC_27,2.38
MyCC_27,CONCOCT_22,2.38
MetaBAT_40,MyCC_37,1.14
MyCC_37,CONCOCT_28,1.14
MetaBAT_41,MyCC_34,1.09
MyCC_34,CONCOCT_5,1.09
MetaBAT_42,MyCC_37,0.92
MyCC_37,CONCOCT_28,0.92
MetaBAT_44,MyCC_14,0.74
MyCC_14,CONCOCT_1,0.74
MetaBAT_45,MyCC_36,0.55
MyCC_36,CONCOCT_30,0.55
MetaBAT_5,MyCC_1,1.11
MyCC_1,CONCOCT_3,1.11
MetaBAT_5,MyCC_28,5.05
MyCC_28,CONCOCT_16,5.05
MetaBAT_5,MyCC_28,1.1
MyCC_28,CONCOCT_42,1.1
MetaBAT_5,MyCC_33,2.08
MyCC_33,CONCOCT_19,2.08
MetaBAT_6,MyCC_41,6.74
MyCC_41,CONCOCT_4,6.74
MetaBAT_6,MyCC_41,2.49
MyCC_41,CONCOCT_5,2.49
MetaBAT_7,MyCC_31,2.99
MyCC_31,CONCOCT_47,2.99
MetaBAT_7,MyCC_7,2.02
MyCC_7,CONCOCT_24,2.02
MetaBAT_7,MyCC_7,2.0
MyCC_7,CONCOCT_47,2.0
MetaBAT_8,MyCC_2,2.35
MyCC_2,CONCOCT_40,2.35
MetaBAT_8,MyCC_38,4.3
MyCC_38,CONCOCT_48,4.3
MetaBAT_9,MyCC_30,5.41
MyCC_30,CONCOCT_49,5.41
MetaBAT_9,MyCC_49,0.91
MyCC_49,CONCOCT_49,0.91
