Category	GeneNumber	Description
J	68	Translation, ribosomal structure and biogenesis
A	0	RNA processing and modification
K	21	Transcription
L	15	Replication, recombination and repair
B	0	Chromatin structure and dynamics
D	1	Cell cycle control, cell division, chromosome partitioning
Y	0	Nuclear structure
V	13	Defense mechanisms
T	19	Signal transduction mechanisms
M	19	Cell wall/membrane/envelope biogenesis
N	3	Cell motility
Z	0	Cytoskeleton
W	1	Extracellular structures
U	2	Intracellular trafficking, secretion, and vesicular transport
O	22	Posttranslational modification, protein turnover, chaperones
X	3	Mobilome: prophages, transposons
C	66	Energy production and conversion
G	46	Carbohydrate transport and metabolism
E	83	Amino acid transport and metabolism
F	21	Nucleotide transport and metabolism
H	39	Coenzyme transport and metabolism
I	47	Lipid transport and metabolism
P	50	Inorganic ion transport and metabolism
Q	42	Secondary metabolites biosynthesis, transport and catabolism
R	74	General function prediction only
S	22	Function unknown
