con_NH3	rm_rate	size	color
1.33E-01	61	26.82034778	1
2.83E-02	51	23.15496778	1
1.30E-03	51	22.40923111	1
1.33E-02	51	21.62047444	1
2.83E-01	56	30.45082667	1
6.30E-01	71	39.53564444	1
8.00E-04	41	21.92848111	1
3.00E-04	41	21.76332444	1
1.83E-01	31	7.155825556	1
4.30E-01	51	19.59261778	1
2.83E-01	41	16.43297556	1
2.33E-01	41	25.35499222	1
2.83E-01	36	6.260667778	1
2.83E-02	46	22.45658778	1
1.80E-03	46	22.13630444	1
1.30E-03	46	21.37287778	1
1.83E-01	26	14.44752444	2
6.30E-01	61	34.03998889	1
4.30E-01	56	32.03601111	1
2.33E-01	56	28.39751889	1
1.33E-01	36	24.05014667	1
1.33E-01	21	7.711397778	2
2.83E-01	46	25.31761667	1
2.33E-01	31	19.83491111	2
3.30E-01	31	84.00619667	2
3.30E-01	36	69.64993778	2
4.30E-01	46	2.598735556	2
8.30E-03	46	22.97640556	1
1.83E-02	46	22.80655111	1
2.80E-03	36	21.86641889	1
3.30E-01	41	2.46683	1
1.33E-01	26	13.78976444	1
8.30E-02	16	4.452066667	1
1.33E-01	16	37.09109778	2
2.83E-01	31	80.29978444	2
2.33E-01	46	26.35433778	1
8.30E-02	21	13.04158556	1
8.30E-02	11	15.16808111	2
2.83E-02	36	23.05579556	1
8.30E-03	36	22.12385667	1
4.30E-01	41	73.53052778	2
5.30E-01	41	284.7497856	2
2.33E-01	21	79.34989	2
4.30E-01	36	331.2007656	2
3.30E-03	36	22.26342222	1
3.30E-01	56	31.77870333	1
8.30E-02	31	21.44339222	1
3.30E-01	46	23.55180556	1
5.30E-01	56	29.96662556	1
1.33E-01	31	19.31631667	1
1.33E-01	51	25.46525667	1
1.30E-03	36	21.59298111	1
6.30E-01	56	9.505751111	1
2.33E-01	26	54.19061778	2
1.33E-01	41	25.05984667	1
3.30E-02	16	15.03312889	1
8.30E-02	26	17.39066222	1
3.30E-03	21	20.27207111	1
1.83E-01	36	20.12974222	1
3.30E-02	31	22.30896667	1
1.30E-03	41	21.59778667	1
8.30E-03	41	21.82212	1
1.83E-02	31	20.90629778	1
5.30E-01	61	35.81228889	1
1.83E-01	41	25.50977778	1
1.83E-01	21	46.38892778	2
8.30E-02	46	24.43345667	1
1.33E-02	21	18.92052778	1
6.30E-01	36	1930.500554	2
2.80E-03	31	20.41137333	1
1.83E-02	36	21.77459667	1
2.83E-02	11	9.483947778	1
1.80E-03	26	21.01616111	1
1.83E-02	16	16.27942778	1
8.30E-02	6	44.64138111	2
4.30E-01	61	34.39339667	1
1.83E-02	21	18.89255	1
3.30E-02	11	8.610595556	1
2.83E-02	26	20.85213556	1
1.83E-01	16	155.2188156	2
1.33E-01	11	114.4039622	2
3.30E-03	26	20.24836778	1
2.80E-03	11	13.9205	1
2.83E-02	6	1.121023333	1
2.33E-02	6	3.636802222	1
2.80E-03	41	22.96408778	1
2.33E-02	41	22.67899222	1
1.33E-02	41	21.67018333	1
1.80E-03	16	17.91938111	1
2.30E-03	26	20.35629667	1
8.30E-03	21	19.48072556	1
7.30E-01	56	9.386523333	2
5.30E-01	46	99.74897889	2
2.33E-02	11	11.34444	1
3.30E-02	6	1.146722222	2
6.30E-01	31	2855.047252	2
2.33E-02	26	21.13214333	1
8.30E-02	36	23.05550556	1
2.30E-03	16	17.70339111	1
2.83E-01	16	1479.04506	2
1.83E-01	11	195.8076889	2
1.33E-02	6	6.672802222	1
5.30E-01	11	22530.37737	2
3.30E-02	26	20.50140556	1
2.83E-01	26	244.51271	2
1.33E-02	1	4.017727778	2
2.83E-02	1	12.93498444	2
6.30E-01	51	94.17141222	2
2.83E-01	51	29.65398556	1
4.30E-01	26	1291.639141	2
7.30E-01	26	10914.56724	2
2.33E-02	21	19.31968111	1
1.30E-03	21	19.48048	1
7.30E-01	46	289.0735289	2
2.30E-03	11	14.41543111	1
1.80E-03	6	9.432002222	1
1.80E-03	21	19.30940556	1
3.30E-01	6	10118.29846	2
2.80E-03	26	20.31919444	1
1.83E-02	6	4.824078889	1
8.30E-03	11	14.13826556	1
1.33E-02	11	12.54540444	1
3.30E-02	21	18.47097333	1
5.30E-01	36	1139.965598	2
2.33E-01	16	496.2372089	2
3.30E-01	16	2094.490842	2
3.30E-01	51	30.00076333	1
2.30E-03	6	9.17225	1
2.33E-02	16	15.84386	1
8.30E-02	1	91.48416444	2
1.83E-01	6	670.9048744	2
2.80E-03	6	9.255337778	1
3.30E-01	1	16501.11889	2
1.83E-02	1	6.553381111	2
3.30E-03	1	0.87735	1
3.30E-02	1	13.87641556	2
3.30E-03	16	17.47317667	1
1.33E-01	46	26.76389556	1
1.80E-03	11	14.14009667	1
1.83E-02	26	20.30420333	1
4.30E-01	31	864.1100522	2
7.30E-01	6	95083.47126	2
1.30E-03	1	1.555131111	1
8.30E-03	6	7.24942	1
6.30E-01	6	71554.65685	2
5.30E-01	6	52822.34116	2
4.30E-01	11	15582.90878	2
7.30E-01	16	23719.92931	2
8.00E-04	6	9.631032222	1
2.33E-01	11	811.5310667	2
6.30E-01	46	114.01538	2
1.30E-03	16	17.26058667	1
2.83E-01	6	4595.918437	2
1.83E-02	11	12.15069778	1
1.30E-03	6	9.683911111	1
2.83E-02	16	15.40935667	1
2.33E-02	1	7.814298889	2
1.33E-01	1	263.1792856	2
8.30E-03	1	1.25202	2
8.00E-04	1	1.795442222	1
2.30E-03	1	1.317185556	1
7.30E-01	31	6240.255707	2
2.83E-01	21	484.0018856	2
2.83E-02	21	19.13009111	1
1.33E-01	6	191.6951289	2
8.00E-04	21	19.39877889	1
7.30E-01	11	48016.866	2
3.00E-04	1	2.088686667	1
6.30E-01	1	104781.4593	2
3.00E-04	11	14.87582778	1
1.80E-03	1	1.50149	1
1.83E-01	1	1226.188187	2
2.80E-03	16	16.89916556	1
7.30E-01	1	123263.2992	2
2.83E-01	1	8112.933826	2
1.30E-03	11	13.58953111	1
4.30E-01	6	27483.83916	2
3.30E-03	6	8.765616667	1
1.33E-02	36	21.40977778	1
2.33E-01	36	18.45685	1
3.30E-03	11	14.87832	1
8.30E-03	16	16.28541222	1
8.30E-01	1	199116.4217	2
5.30E-01	1	68138.83593	2
8.00E-04	31	22.22713889	1
3.00E-04	16	17.94005	1
6.30E-01	11	51162.15165	2
2.83E-01	11	2675.424136	2
4.30E-01	1	38263.63699	2
2.33E-01	1	3490.435924	2
7.30E-01	41	659.1395833	2
6.30E-01	21	11263.86128	2
8.00E-04	11	14.18800222	1
3.30E-01	26	473.9943056	2
6.30E-01	16	24145.24657	2
2.80E-03	1	1.084356667	1
7.30E-01	21	14210.76657	2
5.30E-01	26	5621.985594	2
3.00E-04	36	20.71782333	1
3.00E-04	6	8.87058	1
5.30E-01	31	1160.511971	2
8.00E-04	16	18.28565889	1
2.30E-03	21	19.22983	1
2.80E-03	21	19.78089667	1
4.30E-01	21	3866.485193	2
1.33E-02	16	16.21545333	1
2.83E-02	31	22.27042889	1
2.30E-03	31	21.99021	1
5.30E-01	21	7046.030812	2
1.33E-02	31	22.40133444	1
2.33E-02	36	22.85272111	1
2.33E-01	6	1840.629317	2
3.30E-01	21	1133.853158	2
6.30E-01	66	39.28674444	1
5.30E-01	16	7124.226448	2
3.00E-04	26	20.96676667	1
1.30E-03	26	20.09695222	1
3.00E-04	21	19.83615222	1
4.30E-01	16	7254.316106	2
8.00E-04	26	20.60016333	1
8.30E-03	26	21.16457111	1
1.33E-02	26	20.55326889	1
6.30E-01	26	3895.359021	2
1.30E-03	31	21.31000444	1
3.00E-04	31	21.27297222	1
5.30E-01	51	21.11374333	1
3.30E-01	11	3370.514904	2
7.30E-01	36	742.2654756	2
3.30E-03	31	21.24923	1
7.30E-01	66	40.19234889	1
1.83E-01	46	27.34389222	1
8.30E-03	31	21.66987667	1
7.30E-01	61	31.67402667	1
6.30E-01	41	300.1305889	2
7.30E-01	51	44.13792556	2
3.30E-01	71	33.22767222	1
2.83E-01	71	32.62349333	1
2.33E-01	71	30.61100556	1
1.83E-01	71	29.04564333	1
1.33E-01	71	26.75221333	1
8.30E-02	71	24.75583889	1
8.30E-03	71	24.04846111	1
2.83E-02	71	23.38610556	1
1.33E-02	71	23.05159444	1
3.30E-02	71	22.83748889	1
1.83E-02	71	22.83451778	1
2.33E-02	71	22.45940556	1
1.80E-03	71	22.24058778	1
8.00E-04	71	22.02571889	1
1.30E-03	71	21.88908444	1
3.00E-04	71	21.75263556	1
2.80E-03	71	21.54800111	1
3.30E-03	71	21.48151889	1
2.30E-03	71	21.45604222	1
2.33E-01	66	29.79118333	1
1.33E-01	66	27.28148667	1
1.83E-01	66	26.59776556	1
8.30E-02	66	24.76678333	1
1.83E-02	66	23.40102667	1
2.83E-02	66	23.27334778	1
3.30E-02	66	23.06525778	1
2.33E-02	66	22.98583778	1
1.33E-02	66	22.89234333	1
2.80E-03	66	22.87210667	1
3.30E-03	66	22.83831556	1
2.30E-03	66	22.77698778	1
1.80E-03	66	22.71224	1
3.00E-04	66	22.68240778	1
8.30E-03	66	22.30719667	1
8.00E-04	66	22.08347889	1
1.30E-03	66	22.03371667	1
8.30E-02	61	25.88382889	1
8.30E-03	61	23.09068111	1
1.83E-02	61	22.97959889	1
2.83E-02	61	22.92970444	1
8.00E-04	61	22.75932111	1
1.80E-03	61	22.68222444	1
2.80E-03	61	22.53266444	1
3.30E-02	61	22.50713778	1
2.30E-03	61	22.38100778	1
2.33E-02	61	22.28723111	1
3.30E-03	61	22.17605111	1
3.00E-04	61	22.03651222	1
1.30E-03	61	21.94081889	1
1.33E-02	61	21.91100111	1
1.33E-01	56	26.75525333	1
8.30E-02	56	23.99481111	1
3.30E-02	56	23.70862778	1
3.00E-04	56	23.09383444	1
2.83E-02	56	22.96342778	1
1.33E-02	56	22.95720667	1
1.83E-02	56	22.77337667	1
2.33E-02	56	22.36285667	1
2.30E-03	56	22.24792778	1
8.00E-04	56	22.19457222	1
1.80E-03	56	22.17558778	1
1.30E-03	56	21.99081111	1
8.30E-03	56	21.98326111	1
2.80E-03	56	21.94867333	1
3.30E-03	56	21.81469889	1
2.33E-02	51	23.59299667	1
1.83E-02	51	23.41355667	1
8.00E-04	51	22.75974667	1
2.80E-03	51	22.72181	1
2.30E-03	51	22.51314333	1
1.80E-03	51	21.97015333	1
3.00E-04	51	21.68251444	1
3.30E-03	51	21.54362444	1
8.30E-03	51	21.51072889	1
7.30E-01	71	41.13954	1
5.30E-01	71	38.92692889	1
4.30E-01	71	37.38837111	1
5.30E-01	66	38.31836333	1
4.30E-01	66	35.69710444	1
3.30E-01	66	31.87642556	1
2.83E-01	66	31.68143778	1
3.30E-01	61	32.99977111	1
2.83E-01	61	31.33136333	1
2.33E-01	61	29.11587889	1
1.83E-01	61	27.91267111	1
1.83E-01	56	26.95510111	1
2.33E-01	51	30.16241556	1
1.83E-01	51	27.46107444	1
8.30E-02	51	24.62264222	1
3.30E-02	51	23.91188333	1
3.30E-02	46	23.66599333	1
2.33E-02	46	22.84765	1
3.30E-03	46	22.83544111	1
8.00E-04	46	22.57524778	1
3.00E-04	46	22.54932444	1
2.80E-03	46	22.41634111	1
1.33E-02	46	22.36550778	1
2.30E-03	46	22.15268556	1
8.30E-02	41	24.91909556	1
3.30E-02	41	23.84463222	1
2.83E-02	41	23.51552556	1
3.30E-03	41	22.79403778	1
1.83E-02	41	22.56149778	1
1.80E-03	41	22.48522556	1
2.30E-03	41	20.95638222	1
3.30E-02	36	23.32513333	1
1.80E-03	36	22.18356	1
2.30E-03	36	22.01972222	1
8.00E-04	36	21.89807556	1
2.33E-02	31	22.51167444	1
1.80E-03	31	21.26485333	1
