KO	GeneNumber	Description
K00459	1	 ncd2, npd; nitronate monooxygenase [EC:1.13.12.16]
K00341	2	 nuoL; NADH-quinone oxidoreductase subunit L [EC:1.6.5.3]
K00010	5	 iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]
K00032	1	 E1.1.1.43; phosphogluconate 2-dehydrogenase [EC:1.1.1.43]
K00014	2	 aroE; shikimate dehydrogenase [EC:1.1.1.25]
K00231	1	 PPOX, hemY; protoporphyrinogen/coproporphyrinogen III oxidase [EC:1.3.3.4 1.3.3.15]
K00015	2	 gyaR, GOR1; glyoxylate reductase [EC:1.1.1.26]
K00008	5	 SORD, gutB; L-iditol 2-dehydrogenase [EC:1.1.1.14]
K00320	2	 mer; 5,10-methylenetetrahydromethanopterin reductase [EC:1.5.98.2]
K00003	2	 E1.1.1.3; homoserine dehydrogenase [EC:1.1.1.3]
K00065	2	 kduD; 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [EC:1.1.1.127]
K00057	1	 gpsA; glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]
K00020	8	 mmsB, HIBADH; 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]
K00128	1	 ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]
K00013	1	 hisD; histidinol dehydrogenase [EC:1.1.1.23]
K00024	1	 mdh; malate dehydrogenase [EC:1.1.1.37]
K00031	1	 IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]
