KO	GeneNumber	Description
K00015	2	 gyaR, GOR1; glyoxylate reductase [EC:1.1.1.26]
K02051	11	 ABC.SN.S; NitT/TauT family transport system substrate-binding protein
K02050	15	 ABC.SN.P; NitT/TauT family transport system permease protein
K02049	13	 ABC.SN.A; NitT/TauT family transport system ATP-binding protein
K00059	12	 fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]
K18459	1	 gpuA; guanidinopropionase [EC:3.5.3.17]
K03498	2	 trkH, trkG, ktrB; trk system potassium uptake protein
K10764	1	 metZ; O-succinylhomoserine sulfhydrylase [EC:2.5.1.-]
K11209	2	 yghU, yfcG; GSH-dependent disulfide-bond oxidoreductase [EC:1.8.4.-]
K06190	1	 ispZ; intracellular septation protein
K03110	1	 ftsY; fused signal recognition particle receptor
K01061	1	 E3.1.1.45; carboxymethylenebutenolidase [EC:3.1.1.45]
K00122	1	 FDH; formate dehydrogenase [EC:1.17.1.9]
K03601	1	 xseA; exodeoxyribonuclease VII large subunit [EC:3.1.11.6]
K04755	1	 fdx; ferredoxin, 2Fe-2S
K04771	1	 degP, htrA; serine protease Do [EC:3.4.21.107]
K02011	4	 afuB, fbpB; iron(III) transport system permease protein
K00949	1	 thiN, TPK1, THI80; thiamine pyrophosphokinase [EC:2.7.6.2]
K01937	1	 pyrG, CTPS; CTP synthase [EC:6.3.4.2]
K03075	1	 secG; preprotein translocase subunit SecG
K01939	1	 purA, ADSS; adenylosuccinate synthase [EC:6.3.4.4]
K00315	7	 DMGDH; dimethylglycine dehydrogenase [EC:1.5.8.4]
K19191	1	 mabO; 4-methylaminobutanoate oxidase (formaldehyde-forming) [EC:1.5.3.19]
K14083	6	 mttB; trimethylamine---corrinoid protein Co-methyltransferase [EC:2.1.1.250]
K09471	1	 puuB, ordL; gamma-glutamylputrescine oxidase [EC:1.4.3.-]
K03821	1	 phbC, phaC; polyhydroxyalkanoate synthase subunit PhaC [EC:2.3.1.-]
K01662	1	 dxs; 1-deoxy-D-xylulose-5-phosphate synthase [EC:2.2.1.7]
K00549	3	 metE; 5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [EC:2.1.1.14]
K15509	1	 hpsN; sulfopropanediol 3-dehydrogenase [EC:1.1.1.308]
K02025	27	 ABC.MS.P; multiple sugar transport system permease protein
K10112	23	 msmX, msmK, malK, sugC, ggtA, msiK; multiple sugar transport system ATP-binding protein
K16841	4	 hpxA; allantoin racemase [EC:5.1.99.3]
K01996	15	 livF; branched-chain amino acid transport system ATP-binding protein
K01995	16	 livG; branched-chain amino acid transport system ATP-binding protein
K01998	16	 livM; branched-chain amino acid transport system permease protein
K01997	17	 livH; branched-chain amino acid transport system permease protein
K01999	16	 livK; branched-chain amino acid transport system substrate-binding protein
K02032	21	 ABC.PE.A1; peptide/nickel transport system ATP-binding protein
K02031	25	 ABC.PE.A; peptide/nickel transport system ATP-binding protein
K02034	35	 ABC.PE.P1; peptide/nickel transport system permease protein
K02033	35	 ABC.PE.P; peptide/nickel transport system permease protein
K02035	34	 ABC.PE.S; peptide/nickel transport system substrate-binding protein
K00626	6	 E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]
K01895	2	 ACSS, acs; acetyl-CoA synthetase [EC:6.2.1.1]
K05878	2	 dhaK; phosphoenolpyruvate---glycerone phosphotransferase subunit DhaK [EC:2.7.1.121]
K18910	2	 dpe, lre; D-psicose/D-tagatose/L-ribulose 3-epimerase [EC:5.1.3.30 5.1.3.31]
K02053	9	 ABC.SP.P; putative spermidine/putrescine transport system permease protein
K02054	9	 ABC.SP.P1; putative spermidine/putrescine transport system permease protein
K02055	10	 ABC.SP.S; putative spermidine/putrescine transport system substrate-binding protein
K07793	18	 tctA; putative tricarboxylic transport membrane protein
K13874	1	 K13874, araB; L-arabinonolactonase [EC:3.1.1.15]
K13893	2	 yejA; microcin C transport system substrate-binding protein
K01485	2	 codA; cytosine/creatinine deaminase [EC:3.5.4.1 3.5.4.21]
K07458	1	 vsr; DNA mismatch endonuclease, patch repair protein [EC:3.1.-.-]
