KO	sponge	Dectected_pct	seawater	Dectected_pct	P_value	P_value_adjusted
K00003	3.19	73.26	2.99	74.68	0.474	1.0
K00005	0.1	1.16	0.33	8.91	0.027	1.0
K00007	0.18	5.81	0.05	1.99	0.117	1.0
K00008	0.56	6.98	3.42	48.18	0.0	0.0
K00009	0.04	1.16	0.15	3.99	0.019	0.932
K00010	1.16	27.91	2.64	45.25	0.0	0.0
K00013	3.43	77.91	3.88	94.72	0.15	1.0
K00014	4.75	88.37	3.77	90.97	0.015	0.754
K00015	1.55	41.86	3.54	60.14	0.0	0.0
K00016	0.19	4.65	0.09	2.7	0.314	1.0
K00018	0.75	19.77	0.73	18.41	0.921	1.0
K00019	0.88	24.42	0.55	13.83	0.078	1.0
K00020	4.34	59.3	4.4	69.64	0.91	1.0
K00021	0.58	9.3	0.38	10.08	0.339	1.0
K00023	0.92	22.09	0.7	18.41	0.296	1.0
K00024	4.67	94.19	4.2	95.08	0.082	1.0
K00027	0.45	11.63	0.65	15.12	0.168	1.0
K00029	3.76	75.58	1.59	38.69	0.0	0.0
K00030	0.73	15.12	1.3	22.98	0.011	0.537
K00031	4.85	88.37	3.64	88.86	0.002	0.102
K00032	0.04	1.16	0.1	3.87	0.158	1.0
K00033	1.2	19.77	1.73	45.6	0.121	1.0
K00035	0.04	1.16	0.03	1.06	0.792	1.0
K00057	4.44	91.86	2.55	60.26	0.0	0.0
K00065	0.53	15.12	1.92	35.64	0.0	0.0
K00091	0.72	15.12	1.68	37.4	0.0	0.003
K00097	3.34	68.6	1.71	40.45	0.0	0.0
K00128	7.8	80.23	3.83	56.27	0.0	0.0
K00208	5.16	84.88	2.78	66.24	0.0	0.0
K00228	2.84	68.6	0.93	26.85	0.0	0.0
K00231	0.77	15.12	1.9	45.49	0.0	0.0
K00287	3.52	73.26	1.08	28.49	0.0	0.0
K00311	2.08	54.65	1.18	29.66	0.0	0.013
K00320	0.94	10.47	3.47	35.87	0.0	0.0
K00341	3.02	59.3	5.29	86.64	0.0	0.0
K00383	2.33	56.98	0.94	27.67	0.0	0.0
K00392	0.33	5.81	1.56	35.99	0.0	0.0
K00411	1.94	51.16	0.71	21.81	0.0	0.0
K00413	1.69	46.51	0.57	18.41	0.0	0.0
K00432	3.53	69.77	0.49	10.9	0.0	0.0
K00457	2.0	46.51	0.61	15.24	0.0	0.0
K00459	2.96	53.49	0.82	18.64	0.0	0.0
K00477	0.49	9.3	2.11	25.32	0.0	0.0
K00483	0.34	8.14	1.35	23.09	0.0	0.0
K00537	3.33	60.47	1.11	30.72	0.0	0.0
K00558	0.73	11.63	6.05	69.17	0.0	0.0
K00560	3.16	67.44	1.25	32.47	0.0	0.0
K00568	2.17	56.98	0.86	25.79	0.0	0.0
K00571	1.44	32.56	12.34	82.65	0.0	0.0
