KO	P_value	sponge	seawater	Mean_diff	Enriched
K00008	0.0	0.56	3.42	0.164	seawater
K00010	0.0	1.16	2.64	0.439	seawater
K00015	0.0	1.55	3.54	0.438	seawater
K00029	0.0	3.76	1.59	2.365	sponge
K00065	0.0	0.53	1.92	0.276	seawater
K00091	0.003	0.72	1.68	0.429	seawater
K00128	0.0	7.8	3.83	2.037	sponge
K00228	0.0	2.84	0.93	3.054	sponge
K00231	0.0	0.77	1.9	0.405	seawater
K00287	0.0	3.52	1.08	3.259	sponge
K00320	0.0	0.94	3.47	0.271	seawater
K00383	0.0	2.33	0.94	2.479	sponge
K00392	0.0	0.33	1.56	0.212	seawater
K00411	0.0	1.94	0.71	2.732	sponge
K00413	0.0	1.69	0.57	2.965	sponge
K00432	0.0	3.53	0.49	7.204	sponge
K00457	0.0	2.0	0.61	3.279	sponge
K00459	0.0	2.96	0.82	3.61	sponge
K00477	0.0	0.49	2.11	0.232	seawater
K00483	0.0	0.34	1.35	0.252	seawater
K00537	0.0	3.33	1.11	3.0	sponge
K00558	0.0	0.73	6.05	0.121	seawater
K00560	0.0	3.16	1.25	2.528	sponge
K00568	0.0	2.17	0.86	2.523	sponge
K00571	0.0	1.44	12.34	0.117	seawater
