C1,C2,Number
o__Nitrososphaerales,f__Nitrosopumilaceae,20
f__Nitrosopumilaceae,g__JACEMX01,1
g__JACEMX01,sponge,1
f__Nitrosopumilaceae,g__WTHC01,6
g__WTHC01,sponge,4
f__Nitrosopumilaceae,g__Nitrosopumilus,5
g__Nitrosopumilus,sponge,3
f__Nitrosopumilaceae,g__JAPOPJ01,1
g__JAPOPJ01,sponge,1
f__Nitrosopumilaceae,g__Nitrosotenuis,1
g__Nitrosotenuis,nonsponge,1
g__Nitrosopumilus,nonsponge,2
f__Nitrosopumilaceae,g__JAHRAL01,1
g__JAHRAL01,sponge,1
g__WTHC01,nonsponge,2
f__Nitrosopumilaceae,g__Cenarchaeum,1
g__Cenarchaeum,nonsponge,1
f__Nitrosopumilaceae,g__Nitrosarchaeum,2
g__Nitrosarchaeum,sponge,1
g__Nitrosarchaeum,nonsponge,1
f__Nitrosopumilaceae,g__Nitrosopelagicus,2
g__Nitrosopelagicus,sponge,1
g__Nitrosopelagicus,nonsponge,1
