#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"archaeon GW2011_AR6","Archaea;unclassified Archaea;unclassified Archaea (miscellaneous)","","SAMN03217304","PRJNA268032","GCA_000805915.1","Scaffold",0.512955,42.8,,"JWKR01",10,625,"2014-12-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/805/915/GCA_000805915.1_ASM80591v1",
"archaeon GW2011_AR9","Archaea;unclassified Archaea;unclassified Archaea (miscellaneous)","","SAMN03217305","PRJNA268032","GCA_000805935.1","Scaffold",0.486555,42.2,,"JWKS01",12,577,"2014-12-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/805/935/GCA_000805935.1_ASM80593v1",
"archaeon GW2011_AR16","Archaea;unclassified Archaea;unclassified Archaea (miscellaneous)","","SAMN03217310","PRJNA268032","GCA_000805925.1","Scaffold",0.395366,43,,"JWKV01",10,425,"2014-12-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/805/925/GCA_000805925.1_ASM80592v1",
"archaeon GW2011_AR13","Archaea;unclassified Archaea;unclassified Archaea (miscellaneous)","","SAMN03217308","PRJNA268032","GCA_000805965.1","Scaffold",0.943035,28.5,,"JWKU01",53,1160,"2014-12-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/805/965/GCA_000805965.1_ASM80596v1",
"archaeon GW2011_AR17","Archaea;unclassified Archaea;unclassified Archaea (miscellaneous)","","SAMN03217311","PRJNA268032","GCA_000805995.1","Scaffold",0.637001,34.2,,"JWKW01",26,796,"2014-12-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/805/995/GCA_000805995.1_ASM80599v1",
"archaeon GW2011_AR19","Archaea;unclassified Archaea;unclassified Archaea (miscellaneous)","","SAMN03217313","PRJNA268032","GCA_000806015.1","Scaffold",0.678285,30.1,,"JWKY01",20,859,"2014-12-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/806/015/GCA_000806015.1_ASM80601v1",
"archaeon GW2011_AR21","Archaea;unclassified Archaea;unclassified Archaea (miscellaneous)","","SAMN03217315","PRJNA268032","GCA_000806035.1","Scaffold",0.362948,43,,"JWKZ01",36,427,"2014-12-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/806/035/GCA_000806035.1_ASM80603v1",
"archaeon GW2011_AR1","Archaea;unclassified Archaea;unclassified Archaea (miscellaneous)","","SAMN03217300","PRJNA268032","GCA_000806055.1","Scaffold",0.562091,30,,"JWKN01",25,728,"2014-12-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/806/055/GCA_000806055.1_ASM80605v1",
"archaeon GW2011_AR3","Archaea;unclassified Archaea;unclassified Archaea (miscellaneous)","","SAMN03217301","PRJNA268032","GCA_000806075.1","Scaffold",0.992621,44.6,,"JWKO01",14,996,"2014-12-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/806/075/GCA_000806075.1_ASM80607v1",
"archaeon GW2011_AR4","Archaea;unclassified Archaea;unclassified Archaea (miscellaneous)","","SAMN03217302","PRJNA268032","GCA_000806095.1","Scaffold",1.23335,44.8,,"JWKP01",19,1243,"2014-12-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/806/095/GCA_000806095.1_ASM80609v1",
"archaeon GW2011_AR5","Archaea;unclassified Archaea;unclassified Archaea (miscellaneous)","","SAMN03217303","PRJNA268032","GCA_000806115.1","Scaffold",0.858244,49,,"JWKQ01",3,1028,"2014-12-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/806/115/GCA_000806115.1_ASM80611v1",
"archaeon GW2011_AR11","Archaea;unclassified Archaea;unclassified Archaea (miscellaneous)","","SAMN03217307","PRJNA268032","GCA_000806135.1","Scaffold",0.916385,56.5,,"JWKT01",61,1008,"2014-12-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/806/135/GCA_000806135.1_ASM80613v1",
"archaeon GW2011_AR18","Archaea;unclassified Archaea;unclassified Archaea (miscellaneous)","","SAMN03217312","PRJNA268032","GCA_000806155.1","Scaffold",0.82254,29.7,,"JWKX01",17,1047,"2014-12-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/806/155/GCA_000806155.1_ASM80615v1",
"uncultured archaeon A07HR67","Archaea;environmental samples;uncultured archaeon A07HR67","","SAMN02347633","PRJNA224118","GCA_000496175.1","Scaffold",2.89047,65.7,,"AYLI01",16,2889,"2013-11-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/496/175/GCA_000496175.1_A07HR67_11212a_select",
"uncultured archaeon A07HB70","Archaea;environmental samples;uncultured archaeon A07HB70","","SAMN02347633","PRJNA224119","GCA_000496195.1","Scaffold",2.38982,69,,"AYLJ01",15,2513,"2013-11-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/496/195/GCA_000496195.1_A07HB70_072612b_select",
"uncultured archaeon A07HN63","Archaea;environmental samples;uncultured archaeon A07HN63","","SAMN02347633","PRJNA224120","GCA_000496215.1","Scaffold",2.39269,61.4,,"AYLK01",37,2507,"2013-11-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/496/215/GCA_000496215.1_A07HN63_021313_select",
"uncultured archaeon A07HR60","Archaea;environmental samples;uncultured archaeon A07HR60","","SAMN02347633","PRJNA224121","GCA_000496235.1","Scaffold",2.87625,58.6,,"AYLL01",14,2856,"2013-11-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/496/235/GCA_000496235.1_A07HR60_111512_select",
"archaeon RBG_16_50_20","Archaea;unclassified Archaea;unclassified Archaea (miscellaneous)","","SAMN04316260","PRJNA288027","GCA_001768965.1","Scaffold",1.33744,50,,"MEMY01",113,1297,"2016-10-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/768/965/GCA_001768965.1_ASM176896v1",
"archaeon 13_1_40CM_4_53_4","Archaea;unclassified Archaea;unclassified Archaea (miscellaneous)","","SAMN04327880","PRJNA297196","GCA_001918315.1","Scaffold",1.60828,52.9,,"MNFR01",91,1625,"2016-12-23T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/918/315/GCA_001918315.1_ASM191831v1",
"archaeon 13_1_40CM_2_52_4","Archaea;unclassified Archaea;unclassified Archaea (miscellaneous)","","SAMN04327958","PRJNA297196","GCA_001919275.1","Scaffold",0.803411,51.9,,"MNHN01",65,820,"2016-12-23T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/919/275/GCA_001919275.1_ASM191927v1",
"archaeon 13_1_40CM_2_52_13","Archaea;unclassified Archaea;unclassified Archaea (miscellaneous)","","SAMN04327953","PRJNA297196","GCA_001919285.1","Scaffold",1.50086,52,,"MNHO01",79,1574,"2016-12-23T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/919/285/GCA_001919285.1_ASM191928v1",
"archaeon 13_1_20CM_52_20","Archaea;unclassified Archaea;unclassified Archaea (miscellaneous)","","SAMN04327669","PRJNA297196","GCA_001919675.1","Scaffold",0.737615,52.2,,"MNII01",69,731,"2016-12-23T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/919/675/GCA_001919675.1_ASM191967v1",
"archaeon 13_1_20CM_2_54_9","Archaea;unclassified Archaea;unclassified Archaea (miscellaneous)","","SAMN04327726","PRJNA297196","GCA_001920655.1","Scaffold",1.8678,53.4,,"MNKG01",115,1825,"2016-12-23T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/920/655/GCA_001920655.1_ASM192065v1",
"archaeon 13_1_20CM_2_51_12","Archaea;unclassified Archaea;unclassified Archaea (miscellaneous)","","SAMN04327685","PRJNA297196","GCA_001920715.1","Scaffold",3.13701,51.7,,"MNKH01",464,3251,"2016-12-23T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/920/715/GCA_001920715.1_ASM192071v1",
"archaeon 13_2_20CM_2_53_6","Archaea;unclassified Archaea;unclassified Archaea (miscellaneous)","","SAMN04327914","PRJNA297196","GCA_001915065.1","Scaffold",1.78728,53.3,,"MNDT01",69,1863,"2016-12-23T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/915/065/GCA_001915065.1_ASM191506v1",
"archaeon 13_2_20CM_2_52_21","Archaea;unclassified Archaea;unclassified Archaea (miscellaneous)","","SAMN04327913","PRJNA297196","GCA_001915075.1","Scaffold",2.33005,51.9,,"MNDU01",216,2374,"2016-12-23T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/915/075/GCA_001915075.1_ASM191507v1",
