Group,Genome,K00002,K00003,K00005,K00007,K00008,K00009,K00010,K00013,K00014,K00015,K00016,K00018,K00019,K00020,K00021,K00023,K00024,K00027,K00029,K00030,K00031,K00032,K00033,K00035,K00057,K00065,K00091,K00097,K00128,K00208,K00228,K00231,K00287,K00311,K00320,K00341,K00383,K00392,K00411,K00413,K00432,K00457,K00459,K00477,K00483,K00537,K00558,K00560,K00568,K00571
sponge,GCA_001007635,0,4.545,4.545,0,0,0,0,0,4.545,0,0,0,0,0,0,0,0,0,0,0,0,0,4.545,0,4.545,0,0,0,9.091,4.545,4.545,0,0,0,0,0,4.545,4.545,0,0,0,0,0,0,0,0,9.091,0,0,40.909
seawater,seawater_42616_bin_2,0,3.448,0,0,0,0,0,3.448,3.448,3.448,0,0,0,10.345,0,0,3.448,0,3.448,0,3.448,0,0,0,3.448,0,0,3.448,6.897,6.897,3.448,0,3.448,3.448,0,3.448,3.448,0,3.448,3.448,3.448,3.448,3.448,0,0,0,0,3.448,3.448,3.448
sponge,RHO3_bin_22,0,4.167,4.167,0,8.333,0,8.333,4.167,4.167,4.167,0,4.167,0,0,0,0,4.167,0,0,4.167,0,0,4.167,0,4.167,4.167,0,0,0,4.167,0,0,0,0,0,4.167,0,0,0,0,0,0,0,4.167,0,0,4.167,0,0,20.833
sponge,COS2_bin_17,0,0,2.439,0,14.634,0,12.195,2.439,2.439,14.634,0,0,0,2.439,2.439,0,2.439,0,2.439,0,2.439,0,2.439,0,0,0,2.439,2.439,4.878,0,0,0,0,0,2.439,4.878,0,2.439,0,0,0,0,0,12.195,0,0,2.439,0,0,2.439
sponge,RHO3_bin_36,0,3.333,3.333,0,13.333,0,13.333,3.333,3.333,10.0,0,0,0,3.333,0,0,3.333,0,3.333,0,3.333,0,3.333,0,0,0,3.333,0,0,0,0,3.333,0,0,0,6.667,0,3.333,0,0,0,0,3.333,0,0,3.333,6.667,0,0,3.333
seawater,seawater_seasim_SB9155_S4_bin_5,0,0,0,0,0,0,0,0,6.667,0,0,0,0,0,0,0,6.667,0,6.667,6.667,6.667,0,0,0,6.667,0,0,6.667,13.333,6.667,0,6.667,0,6.667,0,6.667,0,0,0,0,0,0,6.667,0,0,6.667,0,0,0,0
sponge,CAR2_bin_16,0,2.857,0,0,2.857,0,2.857,2.857,2.857,2.857,0,0,5.714,8.571,0,2.857,2.857,0,5.714,0,2.857,0,0,0,0,0,0,2.857,8.571,2.857,2.857,0,2.857,2.857,0,2.857,2.857,0,2.857,2.857,0,0,5.714,0,0,0,2.857,2.857,2.857,5.714
sponge,COS2_bin_5,0,0,0,0,7.143,0,0,3.571,3.571,3.571,0,0,0,0,3.571,0,3.571,0,0,7.143,3.571,0,0,0,3.571,0,7.143,0,7.143,3.571,3.571,3.571,3.571,0,0,0,3.571,3.571,0,0,0,3.571,3.571,0,0,0,3.571,3.571,0,10.714
sponge,CAR1_bin_18,0,2.5,0,0,0,0,2.5,2.5,5.0,2.5,0,0,2.5,10.0,0,5.0,2.5,0,5.0,0,5.0,0,2.5,0,2.5,2.5,2.5,2.5,12.5,5.0,2.5,0,0,2.5,0,2.5,2.5,0,2.5,2.5,2.5,2.5,0,0,0,2.5,0,0,2.5,0
sponge,IRC_PAM_SB0668_bin_11,0,3.333,0,0,0,0,0,3.333,3.333,0,0,0,0,0,0,0,3.333,0,0,0,3.333,0,0,0,3.333,0,0,3.333,6.667,3.333,3.333,0,3.333,3.333,0,3.333,3.333,0,3.333,0,0,0,6.667,0,0,3.333,23.333,3.333,3.333,6.667
sponge,CLI1_bin_2,0,4.348,0,0,0,0,0,4.348,4.348,0,0,0,0,0,0,0,4.348,0,8.696,0,4.348,0,0,0,4.348,0,4.348,4.348,0,0,4.348,0,4.348,4.348,0,0,4.348,0,4.348,4.348,8.696,0,0,0,0,4.348,8.696,4.348,4.348,0
seawater,seawater_42618_bin_9,0,3.571,0,0,0,0,3.571,3.571,3.571,3.571,0,0,3.571,7.143,0,0,3.571,0,3.571,0,3.571,0,0,0,3.571,0,0,7.143,3.571,7.143,3.571,0,3.571,3.571,0,3.571,3.571,0,3.571,3.571,3.571,0,0,0,0,3.571,0,3.571,0,3.571
sponge,APA_bin_72,0,4.348,4.348,0,4.348,0,13.043,4.348,4.348,4.348,0,4.348,0,0,0,0,4.348,0,0,4.348,0,0,4.348,0,4.348,4.348,0,0,0,4.348,0,0,0,0,0,4.348,0,0,0,0,0,0,0,0,0,0,8.696,0,0,17.391
sponge,STY3_bin_3,0,4.167,0,0,0,0,0,4.167,4.167,0,0,0,0,4.167,0,0,4.167,0,0,0,0,0,4.167,0,4.167,0,4.167,0,0,0,0,4.167,0,0,0,12.5,0,4.167,0,0,0,0,0,0,0,4.167,0,0,0,41.667
sponge,CAR3_bin_5,0,4.167,4.167,0,0,0,0,4.167,4.167,0,0,0,0,0,0,0,0,0,0,0,4.167,0,4.167,0,4.167,0,0,4.167,4.167,4.167,4.167,0,0,0,0,0,4.167,4.167,0,0,0,0,0,0,0,0,8.333,0,0,37.5
sponge,IRC4_bin_17,0,4.0,0,0,8.0,0,0,4.0,4.0,8.0,0,0,0,8.0,0,0,4.0,4.0,0,8.0,0,0,0,0,4.0,4.0,4.0,0,0,0,0,0,0,0,8.0,8.0,0,0,0,0,0,0,0,0,4.0,0,8.0,0,0,8.0
sponge,COS1_bin_19,0,3.333,0,0,6.667,0,6.667,3.333,6.667,3.333,0,0,0,3.333,0,0,3.333,0,3.333,0,3.333,0,3.333,0,0,3.333,3.333,0,6.667,3.333,0,3.333,0,0,6.667,6.667,0,3.333,0,0,0,0,0,0,0,0,6.667,0,0,10.0
sponge,COS4_bin_2,0,0,0,0,0,0,0,0,6.667,0,0,0,0,0,0,0,6.667,0,0,6.667,6.667,0,0,0,6.667,0,0,6.667,13.333,0,0,0,0,6.667,0,6.667,0,0,0,0,0,0,0,0,0,0,20.0,0,0,13.333
