KO	GeneNumber	Description
K00315	4	 DMGDH; dimethylglycine dehydrogenase [EC:1.5.8.4]
K16264	1	 czcD, zitB; cobalt-zinc-cadmium efflux system protein
K09815	2	 znuA; zinc transport system substrate-binding protein
K09817	2	 znuC; zinc transport system ATP-binding protein [EC:3.6.3.-]
K09816	1	 znuB; zinc transport system permease protein
K00954	1	 E2.7.7.3A, coaD, kdtB; pantetheine-phosphate adenylyltransferase [EC:2.7.7.3]
K02469	1	 gyrA; DNA gyrase subunit A [EC:5.99.1.3]
K01999	22	 livK; branched-chain amino acid transport system substrate-binding protein
K01996	20	 livF; branched-chain amino acid transport system ATP-binding protein
K01995	23	 livG; branched-chain amino acid transport system ATP-binding protein
K01998	21	 livM; branched-chain amino acid transport system permease protein
K01997	25	 livH; branched-chain amino acid transport system permease protein
K18199	1	 inhA; cyclohexyl-isocyanide hydratase [EC:4.2.1.103]
K07062	7	 fitB; toxin FitB [EC:3.1.-.-]
K09989	1	 K09989; uncharacterized protein
K00452	3	 HAAO; 3-hydroxyanthranilate 3,4-dioxygenase [EC:1.13.11.6]
K09022	2	 ridA, tdcF, RIDA; 2-iminobutanoate/2-iminopropanoate deaminase [EC:3.5.99.10]
K03664	1	 smpB; SsrA-binding protein
K13777	1	 atuF; geranyl-CoA carboxylase alpha subunit [EC:6.4.1.5]
K13779	1	 atuE; isohexenylglutaconyl-CoA hydratase [EC:4.2.1.57]
K13778	1	 atuC; geranyl-CoA carboxylase beta subunit [EC:6.4.1.5]
K00631	1	 plsB; glycerol-3-phosphate O-acyltransferase [EC:2.3.1.15]
K07793	8	 tctA; putative tricarboxylic transport membrane protein
K00046	1	 idnO; gluconate 5-dehydrogenase [EC:1.1.1.69]
K15509	1	 hpsN; sulfopropanediol 3-dehydrogenase [EC:1.1.1.308]
K02529	3	 lacI, galR; LacI family transcriptional regulator
K16845	1	 suyA; (2R)-sulfolactate sulfo-lyase subunit alpha [EC:4.4.1.24]
K16846	1	 suyB; (2R)-sulfolactate sulfo-lyase subunit beta [EC:4.4.1.24]
K00927	1	 PGK, pgk; phosphoglycerate kinase [EC:2.7.2.3]
K00249	5	 ACADM, acd; acyl-CoA dehydrogenase [EC:1.3.8.7]
K07726	5	 K07726; putative transcriptional regulator
K06941	1	 rlmN; 23S rRNA (adenine2503-C2)-methyltransferase [EC:2.1.1.192]
K06178	1	 rluB; 23S rRNA pseudouridine2605 synthase [EC:5.4.99.22]
K08316	1	 rsmD; 16S rRNA (guanine966-N2)-methyltransferase [EC:2.1.1.171]
K00858	1	 ppnK, NADK; NAD+ kinase [EC:2.7.1.23]
K07120	1	 K07120; uncharacterized protein
K16320	2	 andAd; anthranilate 1,2-dioxygenase small subunit [EC:1.14.12.1]
K16319	1	 andAc; anthranilate 1,2-dioxygenase large subunit [EC:1.14.12.1]
K01692	4	 paaF, echA; enoyl-CoA hydratase [EC:4.2.1.17]
K00297	1	 metF, MTHFR; methylenetetrahydrofolate reductase (NADPH) [EC:1.5.1.20]
K03520	10	 coxL, cutL; aerobic carbon-monoxide dehydrogenase large subunit [EC:1.2.5.3]
K07003	2	 K07003; uncharacterized protein
K03684	2	 rnd; ribonuclease D [EC:3.1.13.5]
K05800	1	 ybaO; Lrp/AsnC family transcriptional regulator
K01912	8	 paaK; phenylacetate-CoA ligase [EC:6.2.1.30]
K00549	10	 metE; 5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [EC:2.1.1.14]
K00382	2	 DLD, lpd, pdhD; dihydrolipoamide dehydrogenase [EC:1.8.1.4]
K00627	1	 DLAT, aceF, pdhC; pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12]
K14083	5	 mttB; trimethylamine---corrinoid protein Co-methyltransferase [EC:2.1.1.250]
K02196	1	 ccmD; heme exporter protein D
K02197	1	 ccmE; cytochrome c-type biogenesis protein CcmE
K02198	1	 ccmF; cytochrome c-type biogenesis protein CcmF
K02199	1	 ccmG, dsbE; cytochrome c biogenesis protein CcmG, thiol:disulfide interchange protein DsbE
K02200	2	 ccmH; cytochrome c-type biogenesis protein CcmH
K18661	1	 matB; malonyl-CoA/methylmalonyl-CoA synthetase [EC:6.2.1.-]
K04098	1	 chqB; hydroxyquinol 1,2-dioxygenase [EC:1.13.11.37]
K07141	1	 mocA; molybdenum cofactor cytidylyltransferase [EC:2.7.7.76]
K07402	2	 xdhC; xanthine dehydrogenase accessory factor
K07161	1	 K07161; uncharacterized protein
K03519	5	 coxM, cutM; aerobic carbon-monoxide dehydrogenase medium subunit [EC:1.2.5.3]
K03518	6	 coxS; aerobic carbon-monoxide dehydrogenase small subunit [EC:1.2.5.3]
K00163	1	 aceE; pyruvate dehydrogenase E1 component [EC:1.2.4.1]
K07025	2	 K07025; putative hydrolase of the HAD superfamily
K09972	1	 aapP, bztD; general L-amino acid transport system ATP-binding protein [EC:3.6.3.-]
K09971	1	 aapM, bztC; general L-amino acid transport system permease protein
K09970	1	 aapQ, bztB; general L-amino acid transport system permease protein
K09969	1	 aapJ, bztA; general L-amino acid transport system substrate-binding protein
K01760	1	 metC; cystathionine beta-lyase [EC:4.4.1.8]
K00252	1	 GCDH, gcdH; glutaryl-CoA dehydrogenase [EC:1.3.8.6]
K01011	1	 TST, MPST, sseA; thiosulfate/3-mercaptopyruvate sulfurtransferase [EC:2.8.1.1 2.8.1.2]
K01738	1	 cysK; cysteine synthase [EC:2.5.1.47]
K01515	1	 nudF; ADP-ribose pyrophosphatase [EC:3.6.1.13]
K06889	2	 K06889; uncharacterized protein
K07397	1	 yhfA; putative redox protein
K19966	1	 acdDPN7; 3-sulfinopropanoyl-CoA desulfinase [EC:3.13.1.4]
K08281	1	 pncA; nicotinamidase/pyrazinamidase [EC:3.5.1.19 3.5.1.-]
K01055	1	 pcaD; 3-oxoadipate enol-lactonase [EC:3.1.1.24]
K01607	3	 pcaC; 4-carboxymuconolactone decarboxylase [EC:4.1.1.44]
K00449	1	 pcaH; protocatechuate 3,4-dioxygenase, beta subunit [EC:1.13.11.3]
K00448	1	 pcaG; protocatechuate 3,4-dioxygenase, alpha subunit [EC:1.13.11.3]
K01857	1	 pcaB; 3-carboxy-cis,cis-muconate cycloisomerase [EC:5.5.1.2]
K03704	1	 cspA; cold shock protein (beta-ribbon, CspA family)
K03089	3	 rpoH; RNA polymerase sigma-32 factor
K21430	1	 yliI; aldose sugar dehydrogenase [EC:1.1.5.-]
K02078	1	 acpP; acyl carrier protein
K09458	3	 fabF; 3-oxoacyl-[acyl-carrier-protein] synthase II [EC:2.3.1.179]
K07082	1	 K07082; UPF0755 protein
K04765	1	 mazG; nucleoside triphosphate diphosphatase [EC:3.6.1.9]
K03424	1	 tatD; TatD DNase family protein [EC:3.1.21.-]
K01874	1	 MARS, metG; methionyl-tRNA synthetase [EC:6.1.1.10]
K15599	1	 thiX; putative hydroxymethylpyrimidine transport system permease protein
K15598	1	 thiY; putative hydroxymethylpyrimidine transport system substrate-binding protein
K05569	1	 mnhE, mrpE; multicomponent Na+:H+ antiporter subunit E
K05570	1	 mnhF, mrpF; multicomponent Na+:H+ antiporter subunit F
K05571	1	 mnhG, mrpG; multicomponent Na+:H+ antiporter subunit G
K05566	2	 mnhB, mrpB; multicomponent Na+:H+ antiporter subunit B
K05567	1	 mnhC, mrpC; multicomponent Na+:H+ antiporter subunit C
K05568	3	 mnhD, mrpD; multicomponent Na+:H+ antiporter subunit D
K01008	1	 selD, SEPHS; selenide, water dikinase [EC:2.7.9.3]
K03833	1	 selB, EEFSEC; selenocysteine-specific elongation factor
K01042	2	 selA; L-seryl-tRNA(Ser) seleniumtransferase [EC:2.9.1.1]
K01924	2	 murC; UDP-N-acetylmuramate--alanine ligase [EC:6.3.2.8]
K00075	1	 murB; UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]
K01921	1	 ddl; D-alanine-D-alanine ligase [EC:6.3.2.4]
K03589	1	 ftsQ; cell division protein FtsQ
K03590	1	 ftsA; cell division protein FtsA
K03531	1	 ftsZ; cell division protein FtsZ
K02535	1	 lpxC; UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase [EC:3.5.1.108]
K05807	1	 bamD; outer membrane protein assembly factor BamD
K03631	1	 recN; DNA repair protein RecN (Recombination protein N)
K01972	1	 E6.5.1.2, ligA, ligB; DNA ligase (NAD+) [EC:6.5.1.2]
K00344	5	 qor, CRYZ; NADPH2:quinone reductase [EC:1.6.5.5]
K10021	1	 occP, nocP; octopine/nopaline transport system ATP-binding protein [EC:3.6.3.-]
K02030	3	 ABC.PA.S; polar amino acid transport system substrate-binding protein
K10020	1	 occQ, nocQ; octopine/nopaline transport system permease protein
K02029	5	 ABC.PA.P; polar amino acid transport system permease protein
K07259	1	 dacB; serine-type D-Ala-D-Ala carboxypeptidase/endopeptidase (penicillin-binding protein 4) [EC:3.4.16.4 3.4.21.-]
K00384	1	 trxB, TRR; thioredoxin reductase (NADPH) [EC:1.8.1.9]
K07276	1	 K07276; uncharacterized protein
