KO	GeneNumber	Description
K05970	1	 SIAE; sialate O-acetylesterase [EC:3.1.1.53]
K02203	1	 thrH; phosphoserine / homoserine phosphotransferase [EC:3.1.3.3 2.7.1.39]
K00174	1	 korA, oorA, oforA; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]
K00175	1	 korB, oorB, oforB; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]
K03742	1	 pncC; nicotinamide-nucleotide amidase [EC:3.5.1.42]
K05337	1	 fer; ferredoxin
K04487	2	 iscS, NFS1; cysteine desulfurase [EC:2.8.1.7]
K00507	1	 SCD, desC; stearoyl-CoA desaturase (Delta-9 desaturase) [EC:1.14.19.1]
K13954	1	 yiaY; alcohol dehydrogenase [EC:1.1.1.1]
K07062	1	 fitB; toxin FitB [EC:3.1.-.-]
K03602	1	 xseB; exodeoxyribonuclease VII small subunit [EC:3.1.11.6]
K01662	1	 dxs; 1-deoxy-D-xylulose-5-phosphate synthase [EC:2.2.1.7]
K09859	1	 K09859; uncharacterized protein
K07337	1	 K07337; penicillin-binding protein activator
K03685	1	 rnc, DROSHA, RNT1; ribonuclease III [EC:3.1.26.3]
K00767	1	 nadC, QPRT; nicotinate-nucleotide pyrophosphorylase (carboxylating) [EC:2.4.2.19]
K09007	1	 folE2; GTP cyclohydrolase IB [EC:3.5.4.16]
K02356	1	 efp; elongation factor P
K01738	1	 cysK; cysteine synthase [EC:2.5.1.47]
K00812	1	 aspB; aspartate aminotransferase [EC:2.6.1.1]
K01262	1	 pepP; Xaa-Pro aminopeptidase [EC:3.4.11.9]
K00859	1	 coaE; dephospho-CoA kinase [EC:2.7.1.24]
K00765	1	 hisG; ATP phosphoribosyltransferase [EC:2.4.2.17]
K11175	1	 purN; phosphoribosylglycinamide formyltransferase 1 [EC:2.1.2.2]
K00852	1	 rbsK, RBKS; ribokinase [EC:2.7.1.15]
K22185	1	 xylB; D-xylose 1-dehydrogenase [EC:1.1.1.175]
K01817	1	 trpF; phosphoribosylanthranilate isomerase [EC:5.3.1.24]
K00950	1	 folK; 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [EC:2.7.6.3]
K07560	1	 dtd, DTD; D-aminoacyl-tRNA deacylase [EC:3.1.1.96]
K18828	1	 mvpA, vapC; tRNA(fMet)-specific endonuclease VapC [EC:3.1.-.-]
K02499	1	 yabN; tetrapyrrole methylase family protein / MazG family protein
K00931	1	 proB; glutamate 5-kinase [EC:2.7.2.11]
K02518	1	 infA; translation initiation factor IF-1
