KO	GeneNumber	Description
K18277	1	 tmm; trimethylamine monooxygenase [EC:1.14.13.148]
K01915	5	 glnA, GLUL; glutamine synthetase [EC:6.3.1.2]
K22083	1	 mgsC; methylamine---glutamate N-methyltransferase subunit C [EC:2.1.1.21]
K22082	1	 mgsB; methylamine---glutamate N-methyltransferase subunit B [EC:2.1.1.21]
K22081	1	 mgsA; methylamine---glutamate N-methyltransferase subunit A [EC:2.1.1.21]
K00605	5	 gcvT, AMT; aminomethyltransferase [EC:2.1.2.10]
K02002	4	 proX; glycine betaine/proline transport system substrate-binding protein
K02000	4	 proV; glycine betaine/proline transport system ATP-binding protein [EC:3.6.3.32]
K02001	4	 proW; glycine betaine/proline transport system permease protein
K13481	1	 xdhA; xanthine dehydrogenase small subunit [EC:1.17.1.4]
K13482	1	 xdhB; xanthine dehydrogenase large subunit [EC:1.17.1.4]
K07402	1	 xdhC; xanthine dehydrogenase accessory factor
K06173	1	 truA, PUS1; tRNA pseudouridine38-40 synthase [EC:5.4.99.12]
K01870	1	 IARS, ileS; isoleucyl-tRNA synthetase [EC:6.1.1.5]
K01004	1	 pcs; phosphatidylcholine synthase [EC:2.7.8.24]
K03733	1	 xerC; integrase/recombinase XerC
K09921	1	 K09921; uncharacterized protein
K04066	1	 priA; primosomal protein N' (replication factor Y) (superfamily II helicase) [EC:3.6.4.-]
K00817	2	 hisC; histidinol-phosphate aminotransferase [EC:2.6.1.9]
K00220	1	 tyrC; cyclohexadieny/prephenate dehydrogenase [EC:1.3.1.43 1.3.1.12]
K07232	1	 CHAC, chaC; glutathione-specific gamma-glutamylcyclotransferase [EC:4.3.2.7]
K02557	1	 motB; chemotaxis protein MotB
K03694	1	 clpA; ATP-dependent Clp protease ATP-binding subunit ClpA
K01069	1	 gloB, gloC, HAGH; hydroxyacylglutathione hydrolase [EC:3.1.2.6]
K07263	2	 pqqL; zinc protease [EC:3.4.24.-]
K02113	1	 ATPF1D, atpH; F-type H+-transporting ATPase subunit delta
K02111	1	 ATPF1A, atpA; F-type H+-transporting ATPase subunit alpha [EC:3.6.3.14]
K02115	1	 ATPF1G, atpG; F-type H+-transporting ATPase subunit gamma
K02112	1	 ATPF1B, atpD; F-type H+-transporting ATPase subunit beta [EC:3.6.3.14]
K02114	1	 ATPF1E, atpC; F-type H+-transporting ATPase subunit epsilon
K00948	1	 PRPS, prsA; ribose-phosphate pyrophosphokinase [EC:2.7.6.1]
K01620	1	 ltaE; threonine aldolase [EC:4.1.2.48]
K09160	1	 K09160; uncharacterized protein
K11753	1	 ribF; riboflavin kinase / FMN adenylyltransferase [EC:2.7.1.26 2.7.7.2]
K04078	3	 groES, HSPE1; chaperonin GroES
K04077	1	 groEL, HSPD1; chaperonin GroEL
K01589	1	 purK; 5-(carboxyamino)imidazole ribonucleotide synthase [EC:6.3.4.18]
K01588	1	 purE; 5-(carboxyamino)imidazole ribonucleotide mutase [EC:5.4.99.18]
K00958	1	 sat, met3; sulfate adenylyltransferase [EC:2.7.7.4]
K01626	1	 E2.5.1.54, aroF, aroG, aroH; 3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]
K00942	1	 E2.7.4.8, gmk; guanylate kinase [EC:2.7.4.8]
K00655	2	 plsC; 1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]
K00788	1	 thiE; thiamine-phosphate pyrophosphorylase [EC:2.5.1.3]
K01689	1	 ENO, eno; enolase [EC:4.2.1.11]
K03711	1	 fur, zur, furB; Fur family transcriptional regulator, ferric uptake regulator
K02012	4	 afuA, fbpA; iron(III) transport system substrate-binding protein
K04765	1	 mazG; nucleoside triphosphate diphosphatase [EC:3.6.1.9]
K01739	1	 metB; cystathionine gamma-synthase [EC:2.5.1.48]
K00261	1	 GLUD1_2, gdhA; glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]
K00769	2	 gpt; xanthine phosphoribosyltransferase [EC:2.4.2.22]
K00208	2	 fabI; enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]
K00275	1	 pdxH, PNPO; pyridoxamine 5'-phosphate oxidase [EC:1.4.3.5]
K09005	1	 K09005; uncharacterized protein
K00525	7	 E1.17.4.1A, nrdA, nrdE; ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]
K16784	1	 bioM; biotin transport system ATP-binding protein [EC:3.6.3.-]
K16783	1	 bioN; biotin transport system permease protein
K03523	1	 bioY; biotin transport system substrate-specific component
K00626	3	 E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]
K01897	1	 ACSL, fadD; long-chain acyl-CoA synthetase [EC:6.2.1.3]
K00762	1	 pyrE; orotate phosphoribosyltransferase [EC:2.4.2.10]
