KO	GeneNumber	Description
K00457	1	 HPD, hppD; 4-hydroxyphenylpyruvate dioxygenase [EC:1.13.11.27]
K00451	1	 HGD, hmgA; homogentisate 1,2-dioxygenase [EC:1.13.11.5]
K00674	1	 dapD; 2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase [EC:2.3.1.117]
K02843	1	 waaF, rfaF; heptosyltransferase II [EC:2.4.-.-]
K01854	1	 glf; UDP-galactopyranose mutase [EC:5.4.99.9]
K07566	2	 tsaC, rimN, SUA5; L-threonylcarbamoyladenylate synthase [EC:2.7.7.87]
K02259	1	 COX15, ctaA; cytochrome c oxidase assembly protein subunit 15
K03386	1	 PRDX2_4, ahpC; peroxiredoxin (alkyl hydroperoxide reductase subunit C) [EC:1.11.1.15]
K00232	2	 E1.3.3.6, ACOX1, ACOX3; acyl-CoA oxidase [EC:1.3.3.6]
K01256	2	 pepN; aminopeptidase N [EC:3.4.11.2]
K16052	1	 ynaI, mscMJ; MscS family membrane protein
K02066	1	 mlaE, linK; phospholipid/cholesterol/gamma-HCH transport system permease protein
K02065	1	 mlaF, linL, mkl; phospholipid/cholesterol/gamma-HCH transport system ATP-binding protein
K00627	2	 DLAT, aceF, pdhC; pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12]
K00161	1	 PDHA, pdhA; pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]
K00380	1	 cysJ; sulfite reductase (NADPH) flavoprotein alpha-component [EC:1.8.1.2]
K02005	2	 ABC.CD.TX; HlyD family secretion protein
K01190	4	 lacZ; beta-galactosidase [EC:3.2.1.23]
K06889	3	 K06889; uncharacterized protein
K03405	1	 chlI, bchI; magnesium chelatase subunit I [EC:6.6.1.1]
K03923	1	 mdaB; modulator of drug activity B
K00891	1	 E2.7.1.71, aroK, aroL; shikimate kinase [EC:2.7.1.71]
K02825	2	 pyrR; pyrimidine operon attenuation protein / uracil phosphoribosyltransferase [EC:2.4.2.9]
K04762	1	 hslR; ribosome-associated heat shock protein Hsp15
K00134	3	 GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]
K01778	1	 dapF; diaminopimelate epimerase [EC:5.1.1.7]
K00657	1	 speG, SAT; diamine N-acetyltransferase [EC:2.3.1.57]
K07082	1	 K07082; UPF0755 protein
K03313	1	 nhaA; Na+:H+ antiporter, NhaA family
K03321	1	 TC.SULP; sulfate permease, SulP family
K07056	2	 rsmI; 16S rRNA (cytidine1402-2'-O)-methyltransferase [EC:2.1.1.198]
K01104	1	 E3.1.3.48; protein-tyrosine phosphatase [EC:3.1.3.48]
K02313	1	 dnaA; chromosomal replication initiator protein
K07107	1	 ybgC; acyl-CoA thioester hydrolase [EC:3.1.2.-]
K21574	3	 susB; glucan 1,4-alpha-glucosidase [EC:3.2.1.3]
K01760	1	 metC; cystathionine beta-lyase [EC:4.4.1.8]
K00128	1	 ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]
K01715	1	 crt; enoyl-CoA hydratase [EC:4.2.1.17]
K08973	1	 K08973; putative membrane protein
K01772	1	 hemH, FECH; protoporphyrin/coproporphyrin ferrochelatase [EC:4.99.1.1 4.99.1.9]
K02492	1	 hemA; glutamyl-tRNA reductase [EC:1.2.1.70]
K01749	1	 hemC, HMBS; hydroxymethylbilane synthase [EC:2.5.1.61]
K01719	3	 hemD, UROS; uroporphyrinogen-III synthase [EC:4.2.1.75]
K01599	1	 hemE, UROD; uroporphyrinogen decarboxylase [EC:4.1.1.37]
K00228	1	 CPOX, hemF; coproporphyrinogen III oxidase [EC:1.3.3.3]
K01698	1	 hemB, ALAD; porphobilinogen synthase [EC:4.2.1.24]
K08738	1	 CYC; cytochrome c
K03921	1	 FAB2, SSI2, desA1; acyl-[acyl-carrier-protein] desaturase [EC:1.14.19.2 1.14.19.11 1.14.19.26]
K00655	2	 plsC; 1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]
K06443	1	 lcyB, crtL1, crtY; lycopene beta-cyclase [EC:5.5.1.19]
K07313	1	 pphA; serine/threonine protein phosphatase 1 [EC:3.1.3.16]
K01874	2	 MARS, metG; methionyl-tRNA synthetase [EC:6.1.1.10]
K01297	1	 ldcA; muramoyltetrapeptide carboxypeptidase [EC:3.4.17.13]
K07460	1	 yraN; putative endonuclease
K03322	1	 mntH; manganese transport protein
K03709	1	 troR; DtxR family transcriptional regulator, Mn-dependent transcriptional regulator
K02968	1	 RP-S20, rpsT; small subunit ribosomal protein S20
K01881	1	 PARS, proS; prolyl-tRNA synthetase [EC:6.1.1.15]
K02503	1	 HINT1, hinT, hit; histidine triad (HIT) family protein
K03624	1	 greA; transcription elongation factor GreA
K02014	6	 TC.FEV.OM; iron complex outermembrane recepter protein
K03111	2	 ssb; single-strand DNA-binding protein
K00428	4	 E1.11.1.5; cytochrome c peroxidase [EC:1.11.1.5]
K01845	1	 hemL; glutamate-1-semialdehyde 2,1-aminomutase [EC:5.4.3.8]
K09781	1	 K09781; uncharacterized protein
K01206	3	 FUCA; alpha-L-fucosidase [EC:3.2.1.51]
K02926	2	 RP-L4, MRPL4, rplD; large subunit ribosomal protein L4
K02892	1	 RP-L23, MRPL23, rplW; large subunit ribosomal protein L23
K02886	1	 RP-L2, MRPL2, rplB; large subunit ribosomal protein L2
K02965	1	 RP-S19, rpsS; small subunit ribosomal protein S19
K02890	1	 RP-L22, MRPL22, rplV; large subunit ribosomal protein L22
K02982	1	 RP-S3, rpsC; small subunit ribosomal protein S3
K02878	1	 RP-L16, MRPL16, rplP; large subunit ribosomal protein L16
K02904	1	 RP-L29, rpmC; large subunit ribosomal protein L29
K02961	1	 RP-S17, MRPS17, rpsQ; small subunit ribosomal protein S17
K02874	1	 RP-L14, MRPL14, rplN; large subunit ribosomal protein L14
K02895	1	 RP-L24, MRPL24, rplX; large subunit ribosomal protein L24
K02931	1	 RP-L5, MRPL5, rplE; large subunit ribosomal protein L5
K02954	1	 RP-S14, MRPS14, rpsN; small subunit ribosomal protein S14
K02994	1	 RP-S8, rpsH; small subunit ribosomal protein S8
K02933	1	 RP-L6, MRPL6, rplF; large subunit ribosomal protein L6
K02881	1	 RP-L18, MRPL18, rplR; large subunit ribosomal protein L18
K02988	1	 RP-S5, MRPS5, rpsE; small subunit ribosomal protein S5
K02907	1	 RP-L30, MRPL30, rpmD; large subunit ribosomal protein L30
K02876	1	 RP-L15, MRPL15, rplO; large subunit ribosomal protein L15
K03076	1	 secY; preprotein translocase subunit SecY
K02518	1	 infA; translation initiation factor IF-1
K02952	1	 RP-S13, rpsM; small subunit ribosomal protein S13
K02948	1	 RP-S11, MRPS11, rpsK; small subunit ribosomal protein S11
K02986	1	 RP-S4, rpsD; small subunit ribosomal protein S4
K03040	1	 rpoA; DNA-directed RNA polymerase subunit alpha [EC:2.7.7.6]
K02879	1	 RP-L17, MRPL17, rplQ; large subunit ribosomal protein L17
K01956	1	 carA, CPA1; carbamoyl-phosphate synthase small subunit [EC:6.3.5.5]
K01689	1	 ENO, eno; enolase [EC:4.2.1.11]
