,AA,CBM,CE,GH,GT,PL
APA_bin_102_dbCAN,0.09,0.11,0.29,0.11,0.4,0.0
APA_bin_10_dbCAN,0.07,0.0,0.53,0.07,0.33,0.0
APA_bin_12_dbCAN,0.0,0.0,0.1,0.24,0.67,0.0
APA_bin_13_dbCAN,0.2,0.0,0.27,0.07,0.47,0.0
APA_bin_14_dbCAN,0.12,0.05,0.33,0.21,0.3,0.0
APA_bin_15_dbCAN,0.06,0.0,0.28,0.17,0.5,0.0
APA_bin_17_dbCAN,0.05,0.0,0.37,0.16,0.42,0.0
APA_bin_18_dbCAN,0.14,0.0,0.33,0.14,0.38,0.0
APA_bin_19_dbCAN,0.05,0.08,0.39,0.24,0.24,0.0
APA_bin_1_dbCAN,0.15,0.0,0.62,0.09,0.15,0.0
APA_bin_22_dbCAN,0.34,0.0,0.23,0.16,0.27,0.0
APA_bin_23_dbCAN,0.07,0.1,0.2,0.15,0.48,0.0
APA_bin_24_dbCAN,0.0,0.0,0.18,0.27,0.55,0.0
APA_bin_26_dbCAN,0.06,0.06,0.09,0.39,0.3,0.09
APA_bin_27_dbCAN,0.3,0.0,0.13,0.11,0.47,0.0
APA_bin_28_dbCAN,0.1,0.05,0.32,0.12,0.4,0.02
APA_bin_29_dbCAN,0.02,0.02,0.12,0.59,0.21,0.03
APA_bin_32_dbCAN,0.0,0.0,0.33,0.08,0.58,0.0
APA_bin_33_dbCAN,0.36,0.0,0.39,0.04,0.21,0.0
APA_bin_34_dbCAN,0.04,0.0,0.08,0.59,0.29,0.0
APA_bin_38_dbCAN,0.04,0.15,0.1,0.33,0.33,0.05
APA_bin_39_dbCAN,0.08,0.0,0.26,0.33,0.33,0.0
APA_bin_3_dbCAN,0.23,0.0,0.3,0.21,0.26,0.0
APA_bin_40_dbCAN,0.13,0.0,0.06,0.39,0.39,0.03
APA_bin_41_dbCAN,0.04,0.09,0.07,0.41,0.39,0.0
APA_bin_42_dbCAN,0.03,0.02,0.11,0.46,0.37,0.0
APA_bin_43_dbCAN,0.33,0.0,0.32,0.08,0.27,0.0
APA_bin_45_dbCAN,0.09,0.0,0.36,0.29,0.2,0.05
APA_bin_48_dbCAN,0.07,0.0,0.12,0.71,0.11,0.0
APA_bin_4_dbCAN,0.03,0.0,0.38,0.19,0.41,0.0
APA_bin_52_dbCAN,0.03,0.0,0.09,0.58,0.29,0.01
APA_bin_53_dbCAN,0.1,0.0,0.15,0.2,0.56,0.0
APA_bin_55_dbCAN,0.23,0.0,0.2,0.17,0.4,0.0
APA_bin_56_dbCAN,0.0,0.0,0.0,0.0,1.0,0.0
APA_bin_58_dbCAN,0.13,0.02,0.26,0.13,0.47,0.0
APA_bin_59_dbCAN,0.19,0.0,0.19,0.22,0.39,0.0
APA_bin_5_dbCAN,0.25,0.0,0.25,0.25,0.25,0.0
APA_bin_61_dbCAN,0.05,0.05,0.17,0.43,0.27,0.01
APA_bin_62_dbCAN,0.02,0.05,0.04,0.71,0.17,0.01
APA_bin_63_dbCAN,0.05,0.0,0.1,0.39,0.44,0.02
APA_bin_68_dbCAN,0.04,0.0,0.2,0.16,0.6,0.0
APA_bin_69_dbCAN,0.29,0.0,0.29,0.2,0.23,0.0
APA_bin_6_dbCAN,0.15,0.0,0.26,0.26,0.33,0.0
APA_bin_70_dbCAN,0.22,0.02,0.18,0.34,0.22,0.02
APA_bin_71_dbCAN,0.14,0.0,0.09,0.5,0.27,0.0
APA_bin_72_dbCAN,0.07,0.02,0.13,0.36,0.43,0.0
APA_bin_73_dbCAN,0.21,0.0,0.17,0.31,0.31,0.0
APA_bin_74_dbCAN,0.12,0.0,0.29,0.29,0.29,0.0
APA_bin_7_dbCAN,0.0,0.04,0.32,0.18,0.46,0.0
APA_bin_80_dbCAN,0.41,0.0,0.39,0.04,0.16,0.0
APA_bin_81_dbCAN,0.0,0.0,0.03,0.03,0.94,0.0
APA_bin_82_dbCAN,0.0,0.0,0.0,0.0,1.0,0.0
APA_bin_83_dbCAN,0.04,0.12,0.09,0.32,0.4,0.04
APA_bin_85_dbCAN,0.1,0.0,0.35,0.29,0.27,0.0
APA_bin_86_dbCAN,0.13,0.0,0.43,0.13,0.3,0.0
APA_bin_87_dbCAN,0.23,0.0,0.31,0.13,0.33,0.0
APA_bin_89_dbCAN,0.02,0.01,0.08,0.53,0.35,0.01
APA_bin_8_dbCAN,0.06,0.0,0.06,0.28,0.61,0.0
APA_bin_90_dbCAN,0.05,0.0,0.29,0.11,0.55,0.0
APA_bin_91_dbCAN,0.03,0.03,0.2,0.17,0.57,0.0
APA_bin_93_dbCAN,0.38,0.03,0.17,0.1,0.33,0.0
APA_bin_94_dbCAN,0.0,0.02,0.04,0.86,0.06,0.02
APA_bin_96_dbCAN,0.33,0.0,0.37,0.04,0.26,0.0
APA_bin_97_dbCAN,0.06,0.03,0.2,0.37,0.34,0.0
APA_bin_98_dbCAN,0.2,0.0,0.24,0.16,0.4,0.0
aplysina_bin_dbCAN,0.03,0.13,0.06,0.46,0.3,0.01
zHGT_dbCAN,0.02,0.0,0.06,0.12,0.81,0.0
