KO	GeneNumber	Description
K00008	6	 SORD, gutB; L-iditol 2-dehydrogenase [EC:1.1.1.14]
K00477	3	 PHYH; phytanoyl-CoA hydroxylase [EC:1.14.11.18]
K00392	1	 sir; sulfite reductase (ferredoxin) [EC:1.8.7.1]
K00015	1	 gyaR, GOR1; glyoxylate reductase [EC:1.1.1.26]
K00065	2	 kduD; 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [EC:1.1.1.127]
K00571	11	 E2.1.1.72; site-specific DNA-methyltransferase (adenine-specific) [EC:2.1.1.72]
K00013	1	 hisD; histidinol dehydrogenase [EC:1.1.1.23]
K00341	2	 nuoL; NADH-quinone oxidoreductase subunit L [EC:1.6.5.3]
K00020	1	 mmsB, HIBADH; 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]
K00287	1	 DHFR, folA; dihydrofolate reductase [EC:1.5.1.3]
K00560	1	 thyA, TYMS; thymidylate synthase [EC:2.1.1.45]
K00014	1	 aroE; shikimate dehydrogenase [EC:1.1.1.25]
K00003	1	 E1.1.1.3; homoserine dehydrogenase [EC:1.1.1.3]
K00024	1	 mdh; malate dehydrogenase [EC:1.1.1.37]
K00033	1	 PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]
K00018	1	 hprA; glycerate dehydrogenase [EC:1.1.1.29]
