KO	GeneNumber	Description
K07026	1	 E3.1.3.70; mannosyl-3-phosphoglycerate phosphatase [EC:3.1.3.70]
K13693	1	 gpgS; glucosyl-3-phosphoglycerate synthase [EC:2.4.1.266]	Glc a1-2 PGA
K00690	1	 E2.4.1.7; sucrose phosphorylase [EC:2.4.1.7]
K15918	1	 GLYK; D-glycerate 3-kinase [EC:2.7.1.31]
K07636	1	 phoR; two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR [EC:2.7.13.3]
K02040	1	 pstS; phosphate transport system substrate-binding protein
K02037	1	 pstC; phosphate transport system permease protein
K02038	1	 pstA; phosphate transport system permease protein
K02036	1	 pstB; phosphate transport system ATP-binding protein [EC:3.6.3.27]
K02039	1	 phoU; phosphate transport system protein
K07657	1	 phoB; two-component system, OmpR family, phosphate regulon response regulator PhoB
K03119	3	 tauD; taurine dioxygenase [EC:1.14.11.17]
K02652	1	 pilB; type IV pilus assembly protein PilB
K02653	1	 pilC; type IV pilus assembly protein PilC
K03924	1	 moxR; MoxR-like ATPase [EC:3.6.3.-]
K07315	1	 rsbU_P; phosphoserine phosphatase RsbU/P [EC:3.1.3.3]
K02669	1	 pilT; twitching motility protein PilT
K02654	1	 pilD, pppA; leader peptidase (prepilin peptidase) / N-methyltransferase [EC:3.4.23.43 2.1.1.-]
K02453	1	 gspD; general secretion pathway protein D
K01768	1	 E4.6.1.1; adenylate cyclase [EC:4.6.1.1]
K07263	2	 pqqL; zinc protease [EC:3.4.24.-]
K03101	1	 lspA; signal peptidase II [EC:3.4.23.36]
K01870	1	 IARS, ileS; isoleucyl-tRNA synthetase [EC:6.1.1.5]
K11753	1	 ribF; riboflavin kinase / FMN adenylyltransferase [EC:2.7.1.26 2.7.7.2]
K07735	1	 algH; putative transcriptional regulator
K01733	1	 thrC; threonine synthase [EC:4.2.3.1]
K14998	1	 SURF1, SHY1; surfeit locus 1 family protein
K02276	1	 coxC, ctaE; cytochrome c oxidase subunit III [EC:1.9.3.1]
K02258	1	 COX11, ctaG; cytochrome c oxidase assembly protein subunit 11
K02301	1	 cyoE; protoheme IX farnesyltransferase [EC:2.5.1.-]
K02274	1	 coxA, ctaD; cytochrome c oxidase subunit I [EC:1.9.3.1]
K02275	1	 coxB, ctaC; cytochrome c oxidase subunit II [EC:1.9.3.1]
K03568	1	 tldD; TldD protein
K01919	1	 gshA; glutamate--cysteine ligase [EC:6.3.2.2]
K09761	1	 rsmE; 16S rRNA (uracil1498-N3)-methyltransferase [EC:2.1.1.193]
K03179	1	 ubiA; 4-hydroxybenzoate polyprenyltransferase [EC:2.5.1.39]
K03592	1	 pmbA; PmbA protein
K11085	1	 msbA; ATP-binding cassette, subfamily B, bacterial MsbA [EC:3.6.3.-]
K02527	2	 kdtA, waaA; 3-deoxy-D-manno-octulosonic-acid transferase [EC:2.4.99.12 2.4.99.13 2.4.99.14 2.4.99.15]
K00912	1	 lpxK; tetraacyldisaccharide 4'-kinase [EC:2.7.1.130]
K03601	1	 xseA; exodeoxyribonuclease VII large subunit [EC:3.1.11.6]
K01945	1	 purD; phosphoribosylamine---glycine ligase [EC:6.3.4.13]
K08316	1	 rsmD; 16S rRNA (guanine966-N2)-methyltransferase [EC:2.1.1.171]
K06178	1	 rluB; 23S rRNA pseudouridine2605 synthase [EC:5.4.99.22]
K03572	1	 mutL; DNA mismatch repair protein MutL
K01810	1	 GPI, pgi; glucose-6-phosphate isomerase [EC:5.3.1.9]
K02553	1	 rraA, menG; regulator of ribonuclease activity A
K01637	1	 E4.1.3.1, aceA; isocitrate lyase [EC:4.1.3.1]
K07110	1	 ramB; XRE family transcriptional regulator, fatty acid utilization regulator
K01892	1	 HARS, hisS; histidyl-tRNA synthetase [EC:6.1.1.21]
K02502	1	 hisZ; ATP phosphoribosyltransferase regulatory subunit
K00765	1	 hisG; ATP phosphoribosyltransferase [EC:2.4.2.17]
K04077	1	 groEL, HSPD1; chaperonin GroEL
K04078	1	 groES, HSPE1; chaperonin GroES
K09710	1	 ybeB; ribosome-associated protein
K00783	1	 rlmH; 23S rRNA (pseudouridine1915-N3)-methyltransferase [EC:2.1.1.177]
K03797	1	 E3.4.21.102, prc, ctpA; carboxyl-terminal processing protease [EC:3.4.21.102]
K08311	1	 nudH; putative (di)nucleoside polyphosphate hydrolase [EC:3.6.1.-]
K01433	1	 purU; formyltetrahydrofolate deformylase [EC:3.5.1.10]
K02114	1	 ATPF1E, atpC; F-type H+-transporting ATPase subunit epsilon
K02112	1	 ATPF1B, atpD; F-type H+-transporting ATPase subunit beta [EC:3.6.3.14]
K02115	1	 ATPF1G, atpG; F-type H+-transporting ATPase subunit gamma
K02111	1	 ATPF1A, atpA; F-type H+-transporting ATPase subunit alpha [EC:3.6.3.14]
K02113	1	 ATPF1D, atpH; F-type H+-transporting ATPase subunit delta
K04066	1	 priA; primosomal protein N' (replication factor Y) (superfamily II helicase) [EC:3.6.4.-]
K00616	1	 E2.2.1.2, talA, talB; transaldolase [EC:2.2.1.2]
K03733	1	 xerC; integrase/recombinase XerC
K00382	1	 DLD, lpd, pdhD; dihydrolipoamide dehydrogenase [EC:1.8.1.4]
K00658	1	 DLST, sucB; 2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]
