KO	GeneNumber	Description
K00027	1	 ME2, sfcA, maeA; malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]
K00483	4	 hpaB; 4-hydroxyphenylacetate 3-monooxygenase [EC:1.14.14.9]
K00020	2	 mmsB, HIBADH; 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]
K00208	1	 fabI; enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]
K00571	1	 E2.1.1.72; site-specific DNA-methyltransferase (adenine-specific) [EC:2.1.1.72]
K00057	1	 gpsA; glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]
K00320	2	 mer; 5,10-methylenetetrahydromethanopterin reductase [EC:1.5.98.2]
K00459	1	 ncd2, npd; nitronate monooxygenase [EC:1.13.12.16]
K00010	1	 iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]
K00033	1	 PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]
K00014	1	 aroE; shikimate dehydrogenase [EC:1.1.1.25]
K00015	1	 gyaR, GOR1; glyoxylate reductase [EC:1.1.1.26]
K00008	1	 SORD, gutB; L-iditol 2-dehydrogenase [EC:1.1.1.14]
K00065	2	 kduD; 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [EC:1.1.1.127]
K00013	1	 hisD; histidinol dehydrogenase [EC:1.1.1.23]
K00341	2	 nuoL; NADH-quinone oxidoreductase subunit L [EC:1.6.5.3]
K00024	1	 mdh; malate dehydrogenase [EC:1.1.1.37]
K00031	1	 IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]
K00537	1	 ARSC1, arsC; arsenate reductase [EC:1.20.4.1]
K00003	1	 E1.1.1.3; homoserine dehydrogenase [EC:1.1.1.3]
