,"J_Translation, ribosomal structure and biogenesis",A_RNA processing and modification,K_Transcription,"L_Replication, recombination and repair",B_Chromatin structure and dynamics,"D_Cell cycle control, cell division, chromosome partitioning",Y_Nuclear structure,V_Defense mechanisms,T_Signal transduction mechanisms,M_Cell wall/membrane/envelope biogenesis,N_Cell motility,Z_Cytoskeleton,W_Extracellular structures,"U_Intracellular trafficking, secretion, and vesicular transport","O_Posttranslational modification, protein turnover, chaperones","X_Mobilome: prophages, transposons",C_Energy production and conversion,G_Carbohydrate transport and metabolism,E_Amino acid transport and metabolism,F_Nucleotide transport and metabolism,H_Coenzyme transport and metabolism,I_Lipid transport and metabolism,P_Inorganic ion transport and metabolism,"Q_Secondary metabolites biosynthesis, transport and catabolism",R_General function prediction only,S_Function unknown
BI_ER_161216_Refined_27_func,0.06,0.0,0.04,0.04,0.0,0.01,0.0,0.01,0.04,0.07,0.02,0.0,0.01,0.02,0.06,0.0,0.08,0.04,0.09,0.02,0.06,0.07,0.05,0.05,0.1,0.05
BI_ER_161216_Refined_31_func,0.1,0.0,0.06,0.05,0.0,0.01,0.0,0.01,0.03,0.07,0.02,0.0,0.01,0.03,0.06,0.01,0.05,0.06,0.07,0.02,0.05,0.04,0.06,0.02,0.09,0.06
BI_ER_161216_Refined_33_func,0.07,0.0,0.05,0.03,0.0,0.01,0.0,0.02,0.05,0.06,0.03,0.0,0.01,0.02,0.05,0.0,0.06,0.08,0.12,0.02,0.05,0.05,0.05,0.04,0.09,0.05
BI_ER_161216_Refined_34_func,0.07,0.0,0.06,0.04,0.0,0.01,0.0,0.02,0.06,0.07,0.0,0.0,0.0,0.01,0.05,0.0,0.06,0.06,0.09,0.03,0.06,0.06,0.04,0.04,0.1,0.05
CB_ER_040417_Refined_21_func,0.06,0.0,0.06,0.03,0.0,0.01,0.0,0.02,0.05,0.06,0.02,0.0,0.01,0.01,0.05,0.01,0.06,0.07,0.11,0.03,0.05,0.05,0.05,0.04,0.1,0.06
CB_ER_040417_Refined_22_func,0.06,0.0,0.06,0.03,0.0,0.01,0.0,0.02,0.05,0.06,0.01,0.0,0.0,0.01,0.05,0.01,0.07,0.08,0.1,0.03,0.05,0.06,0.05,0.05,0.11,0.06
CB_ER_040417_Refined_25_func,0.06,0.0,0.05,0.04,0.0,0.01,0.0,0.03,0.04,0.09,0.01,0.0,0.0,0.02,0.07,0.01,0.04,0.05,0.07,0.02,0.04,0.05,0.04,0.03,0.14,0.08
CB_ER_040417_Refined_28_func,0.07,0.0,0.05,0.04,0.0,0.02,0.0,0.02,0.05,0.07,0.02,0.0,0.01,0.02,0.07,0.0,0.06,0.04,0.07,0.02,0.06,0.06,0.05,0.04,0.09,0.06
CB_ER_040417_Refined_38_func,0.07,0.0,0.06,0.05,0.0,0.01,0.0,0.02,0.06,0.07,0.0,0.0,0.0,0.01,0.05,0.0,0.06,0.06,0.09,0.03,0.05,0.06,0.05,0.04,0.1,0.06
CB_ER_040417_Refined_39_func,0.07,0.0,0.06,0.04,0.0,0.01,0.0,0.03,0.06,0.07,0.01,0.0,0.0,0.01,0.06,0.0,0.04,0.05,0.08,0.03,0.05,0.06,0.05,0.03,0.11,0.07
CB_ER_040417_Refined_44_func,0.09,0.0,0.06,0.04,0.0,0.01,0.0,0.01,0.09,0.07,0.04,0.0,0.01,0.04,0.05,0.01,0.04,0.06,0.06,0.02,0.05,0.03,0.04,0.02,0.08,0.06
CB_ER_040417_Refined_45_func,0.11,0.0,0.05,0.05,0.0,0.01,0.0,0.02,0.04,0.07,0.02,0.0,0.01,0.02,0.07,0.0,0.06,0.06,0.08,0.02,0.07,0.04,0.06,0.01,0.09,0.06
CB_ER_040417_Refined_59_func,0.09,0.0,0.05,0.04,0.0,0.01,0.0,0.02,0.05,0.07,0.01,0.0,0.01,0.03,0.06,0.0,0.06,0.04,0.07,0.03,0.05,0.06,0.05,0.03,0.08,0.07
CB_ER_040417_Refined_93_func,0.05,0.0,0.05,0.04,0.0,0.01,0.0,0.03,0.07,0.07,0.02,0.0,0.02,0.03,0.07,0.0,0.05,0.06,0.06,0.02,0.04,0.03,0.05,0.03,0.12,0.06
CB_ER_070716_Refined_13_func,0.07,0.0,0.05,0.04,0.0,0.01,0.0,0.02,0.07,0.07,0.04,0.0,0.03,0.04,0.06,0.0,0.05,0.06,0.06,0.03,0.05,0.04,0.05,0.02,0.1,0.04
CB_ER_070716_Refined_22_func,0.07,0.0,0.05,0.04,0.0,0.01,0.0,0.02,0.06,0.08,0.05,0.0,0.02,0.03,0.05,0.01,0.04,0.06,0.07,0.03,0.05,0.04,0.06,0.02,0.1,0.04
CB_ER_070716_Refined_23_func,0.08,0.0,0.06,0.04,0.0,0.01,0.0,0.02,0.04,0.06,0.02,0.0,0.01,0.02,0.06,0.0,0.07,0.05,0.08,0.02,0.05,0.07,0.05,0.04,0.09,0.06
CB_ER_070716_Refined_24_func,0.07,0.0,0.05,0.03,0.0,0.01,0.0,0.02,0.05,0.07,0.01,0.0,0.01,0.03,0.06,0.01,0.06,0.04,0.07,0.02,0.06,0.08,0.05,0.04,0.09,0.07
CB_ER_070716_Refined_29_func,0.12,0.0,0.04,0.06,0.0,0.01,0.0,0.02,0.03,0.05,0.03,0.0,0.0,0.02,0.05,0.01,0.05,0.06,0.11,0.04,0.07,0.04,0.03,0.02,0.07,0.05
CB_ER_070716_Refined_31_func,0.08,0.0,0.06,0.05,0.0,0.01,0.0,0.02,0.04,0.09,0.01,0.0,0.0,0.02,0.06,0.01,0.05,0.05,0.08,0.02,0.06,0.05,0.04,0.03,0.1,0.06
CB_ER_070716_Refined_42_func,0.08,0.0,0.05,0.04,0.0,0.02,0.0,0.02,0.05,0.08,0.04,0.0,0.01,0.03,0.06,0.01,0.05,0.04,0.07,0.02,0.05,0.05,0.04,0.04,0.08,0.07
CB_ER_070716_Refined_43_func,0.07,0.0,0.06,0.04,0.0,0.02,0.0,0.03,0.05,0.07,0.03,0.0,0.01,0.03,0.05,0.01,0.05,0.04,0.06,0.02,0.04,0.06,0.04,0.05,0.09,0.06
CB_ER_070716_Refined_46_func,0.06,0.0,0.06,0.03,0.0,0.01,0.0,0.02,0.06,0.08,0.03,0.0,0.01,0.03,0.06,0.01,0.05,0.05,0.07,0.02,0.05,0.04,0.06,0.03,0.1,0.05
CB_ER_080217_Refined_10_func,0.07,0.0,0.04,0.04,0.0,0.01,0.0,0.02,0.06,0.08,0.04,0.0,0.03,0.04,0.07,0.01,0.04,0.06,0.06,0.02,0.05,0.04,0.04,0.03,0.1,0.05
CB_ER_080217_Refined_14_func,0.06,0.0,0.05,0.04,0.0,0.01,0.0,0.03,0.07,0.08,0.03,0.0,0.02,0.03,0.06,0.01,0.04,0.05,0.06,0.03,0.05,0.04,0.04,0.03,0.11,0.05
