KO	GeneNumber	Description
K03841	1	 FBP, fbp; fructose-1,6-bisphosphatase I [EC:3.1.3.11]
K01883	1	 CARS, cysS; cysteinyl-tRNA synthetase [EC:6.1.1.16]
K07568	2	 queA; S-adenosylmethionine:tRNA ribosyltransferase-isomerase [EC:2.4.99.17]
K03770	1	 ppiD; peptidyl-prolyl cis-trans isomerase D [EC:5.2.1.8]
K03525	1	 coaX; type III pantothenate kinase [EC:2.7.1.33]
K06888	1	 K06888; uncharacterized protein
K01952	3	 purL, PFAS; phosphoribosylformylglycinamidine synthase [EC:6.3.5.3]
K09014	1	 sufB; Fe-S cluster assembly protein SufB
K13628	1	 iscA; iron-sulfur cluster assembly protein
K09811	1	 ftsX; cell division transport system permease protein
K06153	1	 bacA; undecaprenyl-diphosphatase [EC:3.6.1.27]
K04564	1	 SOD2; superoxide dismutase, Fe-Mn family [EC:1.15.1.1]
K07056	1	 rsmI; 16S rRNA (cytidine1402-2'-O)-methyltransferase [EC:2.1.1.198]
K04485	1	 radA, sms; DNA repair protein RadA/Sms
K02622	1	 parE; topoisomerase IV subunit B [EC:5.99.1.-]
K02621	1	 parC; topoisomerase IV subunit A [EC:5.99.1.-]
K01734	1	 mgsA; methylglyoxal synthase [EC:4.2.3.3]
K02493	1	 hemK, prmC, HEMK; release factor glutamine methyltransferase [EC:2.1.1.297]
K01972	1	 E6.5.1.2, ligA, ligB; DNA ligase (NAD+) [EC:6.5.1.2]
K06136	1	 pqqB; pyrroloquinoline quinone biosynthesis protein B
K07007	1	 baiN; 3-dehydro-bile acid Delta4,6-reductase [EC:1.3.1.114]
K01874	1	 MARS, metG; methionyl-tRNA synthetase [EC:6.1.1.10]
K02519	1	 infB, MTIF2; translation initiation factor IF-2
K03631	1	 recN; DNA repair protein RecN (Recombination protein N)
K01613	1	 psd, PISD; phosphatidylserine decarboxylase [EC:4.1.1.65]
K00981	1	 E2.7.7.41, CDS1, CDS2, cdsA; phosphatidate cytidylyltransferase [EC:2.7.7.41]
K03798	1	 ftsH, hflB; cell division protease FtsH [EC:3.4.24.-]
K09710	1	 ybeB; ribosome-associated protein
K03524	1	 birA; BirA family transcriptional regulator, biotin operon repressor / biotin---[acetyl-CoA-carboxylase] ligase [EC:6.3.4.15]
K00762	1	 pyrE; orotate phosphoribosyltransferase [EC:2.4.2.10]
K00954	1	 E2.7.7.3A, coaD, kdtB; pantetheine-phosphate adenylyltransferase [EC:2.7.7.3]
K00940	1	 ndk, NME; nucleoside-diphosphate kinase [EC:2.7.4.6]
K00819	1	 rocD, OAT; ornithine--oxo-acid transaminase [EC:2.6.1.13]
K01697	1	 CBS; cystathionine beta-synthase [EC:4.2.1.22]
K01372	1	 BLMH, pepC; bleomycin hydrolase [EC:3.4.22.40]
K09748	1	 rimP; ribosome maturation factor RimP
