KO	GeneNumber	Description
K13655	1	 mqsA; HTH-type transcriptional regulator / antitoxin MqsA
K06987	1	 K06987; uncharacterized protein
K02549	1	 menC; O-succinylbenzoate synthase [EC:4.2.1.113]
K02454	1	 gspE; general secretion pathway protein E
K02652	1	 pilB; type IV pilus assembly protein PilB
K01962	1	 accA; acetyl-CoA carboxylase carboxyl transferase subunit alpha [EC:6.4.1.2 2.1.3.15]
K00626	3	 E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]
K00074	2	 paaH, hbd, fadB, mmgB; 3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]
K01689	1	 ENO, eno; enolase [EC:4.2.1.11]
K08676	2	 tri; tricorn protease [EC:3.4.21.-]
K06196	2	 ccdA; cytochrome c-type biogenesis protein
K07133	15	 K07133; uncharacterized protein
K06978	15	 K06978; uncharacterized protein
K09903	1	 pyrH; uridylate kinase [EC:2.7.4.22]
K02838	1	 frr, MRRF, RRF; ribosome recycling factor
K00806	1	 uppS; undecaprenyl diphosphate synthase [EC:2.5.1.31]
K00981	1	 E2.7.7.41, CDS1, CDS2, cdsA; phosphatidate cytidylyltransferase [EC:2.7.7.41]
K00099	1	 dxr; 1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]
K11749	1	 rseP; regulator of sigma E protease [EC:3.4.24.-]
K00971	1	 manC, cpsB; mannose-1-phosphate guanylyltransferase [EC:2.7.7.13]
K07106	1	 murQ; N-acetylmuramic acid 6-phosphate etherase [EC:4.2.1.126]
K03116	2	 tatA; sec-independent protein translocase protein TatA
K02437	1	 gcvH, GCSH; glycine cleavage system H protein
K02114	1	 ATPF1E, atpC; F-type H+-transporting ATPase subunit epsilon
K02112	1	 ATPF1B, atpD; F-type H+-transporting ATPase subunit beta [EC:3.6.3.14]
K02115	1	 ATPF1G, atpG; F-type H+-transporting ATPase subunit gamma
K02111	1	 ATPF1A, atpA; F-type H+-transporting ATPase subunit alpha [EC:3.6.3.14]
K02113	1	 ATPF1D, atpH; F-type H+-transporting ATPase subunit delta
K02109	1	 ATPF0B, atpF; F-type H+-transporting ATPase subunit b
K02108	1	 ATPF0A, atpB; F-type H+-transporting ATPase subunit a
K00873	1	 PK, pyk; pyruvate kinase [EC:2.7.1.40]
K06167	1	 phnP; phosphoribosyl 1,2-cyclic phosphate phosphodiesterase [EC:3.1.4.55]
K07497	1	 K07497; putative transposase
