KO	GeneNumber	Description
K02231	1	 cobP, cobU; adenosylcobinamide kinase / adenosylcobinamide-phosphate guanylyltransferase [EC:2.7.1.156 2.7.7.62]
K00768	1	 E2.4.2.21, cobU, cobT; nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase [EC:2.4.2.21]
K15634	1	 gpmB; probable phosphoglycerate mutase [EC:5.4.2.12]
K02233	1	 E2.7.8.26, cobS, cobV; adenosylcobinamide-GDP ribazoletransferase [EC:2.7.8.26]
K01997	5	 livH; branched-chain amino acid transport system permease protein
K13581	1	 ccrM; modification methylase [EC:2.1.1.72]
K01998	5	 livM; branched-chain amino acid transport system permease protein
K01995	5	 livG; branched-chain amino acid transport system ATP-binding protein
K01996	5	 livF; branched-chain amino acid transport system ATP-binding protein
K01873	1	 VARS, valS; valyl-tRNA synthetase [EC:6.1.1.9]
K00658	1	 DLST, sucB; 2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]
K00164	1	 OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]
K05772	1	 tupA, vupA; tungstate transport system substrate-binding protein
K05773	1	 tupB, vupB; tungstate transport system permease protein
K06857	1	 tupC, vupC; tungstate transport system ATP-binding protein [EC:3.6.3.55]
K03752	1	 mobA; molybdenum cofactor guanylyltransferase [EC:2.7.7.77]
K03978	1	 engB; GTP-binding protein
K03655	4	 recG; ATP-dependent DNA helicase RecG [EC:3.6.4.12]
K01845	2	 hemL; glutamate-1-semialdehyde 2,1-aminomutase [EC:5.4.3.8]
K05527	1	 bolA; BolA family transcriptional regulator, general stress-responsive regulator
K01897	3	 ACSL, fadD; long-chain acyl-CoA synthetase [EC:6.2.1.3]
K03594	1	 bfr; bacterioferritin [EC:1.16.3.1]
K02529	1	 lacI, galR; LacI family transcriptional regulator
K00627	2	 DLAT, aceF, pdhC; pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12]
K21417	1	 acoB; acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit beta [EC:1.1.1.-]
K21416	1	 acoA; acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit alpha [EC:1.1.1.-]
K03366	1	 butA, budC; meso-butanediol dehydrogenase / (S,S)-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.- 1.1.1.76 1.1.1.304]
K10440	3	 rbsC; ribose transport system permease protein
K10441	2	 rbsA; ribose transport system ATP-binding protein [EC:3.6.3.17]
K10439	2	 rbsB; ribose transport system substrate-binding protein
K01992	2	 ABC-2.P; ABC-2 type transport system permease protein
K01990	2	 ABC-2.A; ABC-2 type transport system ATP-binding protein
K00147	1	 proA; glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]
K03426	1	 E3.6.1.22, NUDT12, nudC; NAD+ diphosphatase [EC:3.6.1.22]
K02535	1	 lpxC; UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase [EC:3.5.1.108]
K03531	1	 ftsZ; cell division protein FtsZ
K03590	1	 ftsA; cell division protein FtsA
K03589	1	 ftsQ; cell division protein FtsQ
K00075	1	 murB; UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]
K01924	1	 murC; UDP-N-acetylmuramate--alanine ligase [EC:6.3.2.8]
K02563	1	 murG; UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase [EC:2.4.1.227]
K03588	1	 ftsW, spoVE; cell division protein FtsW
K01925	1	 murD; UDP-N-acetylmuramoylalanine--D-glutamate ligase [EC:6.3.2.9]
K01000	1	 mraY; phospho-N-acetylmuramoyl-pentapeptide-transferase [EC:2.7.8.13]
K01929	1	 murF; UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase [EC:6.3.2.10]
K01928	1	 murE; UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase [EC:6.3.2.13]
K03587	1	 ftsI; cell division protein FtsI (penicillin-binding protein 3) [EC:3.4.16.4]
K03586	1	 ftsL; cell division protein FtsL
K03438	1	 mraW, rsmH; 16S rRNA (cytosine1402-N4)-methyltransferase [EC:2.1.1.199]
